Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-03-01 09:30,0.020,0.011,0,0,0,0,v
2017-03-01 09:36,0.019,0.010,0,0,0,0,v
2017-03-01 09:42,0.021,0.013,0,0,0,0,v
2017-03-01 09:48,0.018,0.010,0,0,0,0,v
2017-03-01 09:54,0.014,0.012,0,0,0,0,v
2017-03-01 10:00,0.013,0.012,0,0,0,0,v
2017-03-01 10:06,0.013,0.011,0,0,0,0,v
2017-03-01 10:12,0.013,0.011,0,0,0,0,v
2017-03-01 10:18,0.014,0.013,0,0,0,0,v
2017-03-01 10:24,0.015,0.012,0,0,0,0,v
2017-03-01 10:30,0.017,0.013,0,0,0,0,v
2017-03-01 10:36,0.016,0.013,0,0,0,0,v
2017-03-01 10:42,0.017,0.012,0,0,0,0,v
2017-03-01 10:48,0.020,0.014,0,0,0,0,v
2017-03-01 10:54,0.026,0.011,0,0,0,0,v
2017-03-01 11:00,0.031,0.011,0,0,0,0,v
2017-03-01 11:06,0.043,0.014,0,0,0,0,v
2017-03-01 11:12,0.049,0.016,0,0,0,0,v
2017-03-01 11:18,0.057,0.013,0,0,0,0,v
2017-03-01 11:24,0.066,0.013,0,0,0,0,v
2017-03-01 11:30,0.075,0.012,0,0,0,0,v
2017-03-01 11:36,0.082,0.012,0,0,0,0,v
2017-03-01 11:42,0.094,0.013,0,0,0,0,v
2017-03-01 11:48,0.102,0.013,0,0,0,0,v
2017-03-01 11:54,0.111,0.014,0,0,0,0,v
2017-03-01 12:00,0.124,0.016,0,0,0,0,v
2017-03-01 12:06,0.136,0.016,0,0,0,0,v
2017-03-01 12:12,0.139,0.016,0,0,0,0,v
2017-03-01 12:18,0.157,0.017,0,0,0,0,v
2017-03-01 12:24,0.169,0.015,0,0,0,0,v
2017-03-01 12:30,0.183,0.015,0,0,0,0,v
2017-03-01 12:36,0.193,0.014,0,0,0,0,v
2017-03-01 12:42,0.203,0.016,0,0,0,0,v
2017-03-01 12:48,0.214,0.015,0,0,0,0,v
2017-03-01 12:54,0.220,0.014,0,0,0,0,v
2017-03-01 13:00,0.233,0.014,0,0,0,0,v
2017-03-01 13:06,0.240,0.015,0,0,0,0,v
2017-03-01 13:12,0.251,0.014,0,0,0,0,v
2017-03-01 13:18,0.259,0.013,0,0,0,0,v
2017-03-01 13:24,0.264,0.014,0,0,0,0,v
2017-03-01 13:30,0.274,0.016,0,0,0,0,v
2017-03-01 13:36,0.275,0.016,0,0,0,0,v
2017-03-01 13:42,0.285,0.013,0,0,0,0,v
2017-03-01 13:48,0.295,0.012,0,0,0,0,v
2017-03-01 13:54,0.303,0.015,0,0,0,0,v
2017-03-01 14:00,0.312,0.014,0,0,0,0,v
2017-03-01 14:06,0.326,0.014,0,0,0,0,v
2017-03-01 14:12,0.332,0.014,0,0,0,0,v
2017-03-01 14:18,0.341,0.015,0,0,0,0,v
2017-03-01 14:24,0.353,0.013,0,0,0,0,v
2017-03-01 14:30,0.357,0.014,0,0,0,0,v
2017-03-01 14:36,0.370,0.015,0,0,0,0,v
2017-03-01 14:42,0.368,0.013,0,0,0,0,v
2017-03-01 14:48,0.365,0.010,0,0,0,0,v
2017-03-01 14:54,0.377,0.009,0,0,0,0,v
2017-03-01 15:00,0.386,0.010,0,0,0,0,v
2017-03-01 15:06,0.404,0.010,0,0,0,0,v
2017-03-01 15:12,0.421,0.008,0,0,0,0,v
2017-03-01 15:18,0.435,0.008,0,0,0,0,v
2017-03-01 15:24,0.428,0.008,0,0,0,0,v
2017-03-01 15:30,0.416,0.008,0,0,0,0,v
2017-03-01 15:36,0.417,0.008,0,0,0,0,v
2017-03-01 15:42,0.422,0.009,0,0,0,0,v
2017-03-01 15:48,0.436,0.010,0,0,0,0,v
2017-03-01 15:54,0.437,0.009,0,0,0,0,v
2017-03-01 16:00,0.430,0.008,0,0,0,0,v
2017-03-01 16:06,0.432,0.009,0,0,0,0,v
2017-03-01 16:12,0.434,0.008,0,0,0,0,v
2017-03-01 16:18,0.435,0.010,0,0,0,0,v
2017-03-01 16:24,0.438,0.010,0,0,0,0,v
2017-03-01 16:30,0.444,0.011,0,0,0,0,v
2017-03-01 16:36,0.448,0.010,0,0,0,0,v
2017-03-01 16:42,0.445,0.009,0,0,0,0,v
2017-03-01 16:48,0.440,0.009,0,0,0,0,v
2017-03-01 16:54,0.429,0.011,0,0,0,0,v
2017-03-01 17:00,0.411,0.011,0,0,0,0,v
2017-03-01 17:06,0.403,0.013,0,0,0,0,v
2017-03-01 17:12,0.403,0.008,0,0,0,0,v
2017-03-01 17:18,0.403,0.013,0,0,0,0,v
2017-03-01 17:24,0.402,0.017,0,0,0,0,v
2017-03-01 17:30,0.389,0.013,0,0,0,0,v
2017-03-01 17:36,0.367,0.015,0,0,0,0,v
2017-03-01 17:42,0.347,0.016,0,0,0,0,v
2017-03-01 17:48,0.329,0.017,0,0,0,0,v
2017-03-01 17:54,0.303,0.016,0,0,0,0,v
2017-03-01 18:00,0.285,0.013,0,0,0,0,v
2017-03-01 18:06,0.270,0.013,0,0,0,0,v
2017-03-01 18:12,0.270,0.013,0,0,0,0,v
2017-03-01 18:18,0.274,0.012,0,0,0,0,v
2017-03-01 18:24,0.277,0.012,0,0,0,0,v
2017-03-01 18:30,0.270,0.014,0,0,0,0,v
2017-03-01 18:36,0.257,0.012,0,0,0,0,v
2017-03-01 18:42,0.246,0.015,0,0,0,0,v
2017-03-01 18:48,0.231,0.013,0,0,0,0,v
2017-03-01 18:54,0.209,0.016,0,0,0,0,v
2017-03-01 19:00,0.197,0.013,0,0,0,0,v
2017-03-01 19:06,0.187,0.012,0,0,0,0,v
2017-03-01 19:12,0.179,0.014,0,0,0,0,v
2017-03-01 19:18,0.169,0.014,0,0,0,0,v
2017-03-01 19:24,0.161,0.015,0,0,0,0,v
2017-03-01 19:30,0.148,0.019,0,0,0,0,v
2017-03-01 19:36,0.137,0.017,0,0,0,0,v
2017-03-01 19:42,0.124,0.016,0,0,0,0,v
2017-03-01 19:48,0.119,0.015,0,0,0,0,v
2017-03-01 19:54,0.115,0.017,0,0,0,0,v
2017-03-01 20:00,0.116,0.013,0,0,0,0,v
2017-03-01 20:06,0.118,0.014,0,0,0,0,v
2017-03-01 20:12,0.117,0.014,0,0,0,0,v
2017-03-01 20:18,0.106,0.012,0,0,0,0,v
2017-03-01 20:24,0.102,0.011,0,0,0,0,v
2017-03-01 20:30,0.092,0.012,0,0,0,0,v
2017-03-01 20:36,0.082,0.012,0,0,0,0,v
2017-03-01 20:42,0.069,0.013,0,0,0,0,v
2017-03-01 20:48,0.063,0.012,0,0,0,0,v
2017-03-01 20:54,0.061,0.011,0,0,0,0,v
2017-03-01 21:00,0.061,0.010,0,0,0,0,v
2017-03-01 21:06,0.059,0.010,0,0,0,0,v
2017-03-01 21:12,0.047,0.011,0,0,0,0,v
2017-03-01 21:18,0.035,0.012,0,0,0,0,v
2017-03-01 21:24,0.033,0.010,0,0,0,0,v
2017-03-01 21:30,0.030,0.010,0,0,0,0,v
2017-03-01 21:36,0.025,0.011,0,0,0,0,v
2017-03-01 21:42,0.017,0.008,0,0,0,0,v
2017-03-01 21:48,0.016,0.010,0,0,0,0,v
2017-03-01 21:54,0.019,0.009,0,0,0,0,v
2017-03-01 22:00,0.028,0.015,0,0,0,0,v
2017-03-01 22:06,0.029,0.013,0,0,0,0,v
2017-03-01 22:12,0.026,0.014,0,0,0,0,v
2017-03-01 22:18,0.025,0.011,0,0,0,0,v
2017-03-01 22:24,0.027,0.010,0,0,0,0,v
2017-03-01 22:30,0.032,0.009,0,0,0,0,v
2017-03-01 22:36,0.038,0.010,0,0,0,0,v
2017-03-01 22:42,0.055,0.010,0,0,0,0,v
2017-03-01 22:48,0.067,0.010,0,0,0,0,v
2017-03-01 22:54,0.080,0.008,0,0,0,0,v
2017-03-01 23:00,0.083,0.008,0,0,0,0,v
2017-03-01 23:06,0.082,0.008,0,0,0,0,v
2017-03-01 23:12,0.080,0.009,0,0,0,0,v
2017-03-01 23:18,0.076,0.009,0,0,0,0,v
2017-03-01 23:24,0.075,0.009,0,0,0,0,v
2017-03-01 23:30,0.078,0.010,0,0,0,0,v
2017-03-01 23:36,0.084,0.010,0,0,0,0,v
2017-03-01 23:42,0.100,0.012,0,0,0,0,v
2017-03-01 23:48,0.109,0.011,0,0,0,0,v
2017-03-01 23:54,0.117,0.009,0,0,0,0,v
2017-03-02 00:00,0.123,0.010,0,0,0,0,v
2017-03-02 00:06,0.126,0.009,0,0,0,0,v
2017-03-02 00:12,0.137,0.010,0,0,0,0,v
2017-03-02 00:18,0.147,0.010,0,0,0,0,v
2017-03-02 00:24,0.160,0.010,0,0,0,0,v
2017-03-02 00:30,0.170,0.009,0,0,0,0,v
2017-03-02 00:36,0.178,0.008,0,0,0,0,v
