Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-06-01 00:00,0.435,0.006,0,0,0,0,v
2017-06-01 00:06,0.426,0.005,0,0,0,0,v
2017-06-01 00:12,0.417,0.008,0,0,0,0,v
2017-06-01 00:18,0.408,0.006,0,0,0,0,v
2017-06-01 00:24,0.399,0.006,0,0,0,0,v
2017-06-01 00:30,0.394,0.005,0,0,0,0,v
2017-06-01 00:36,0.389,0.006,0,0,0,0,v
2017-06-01 00:42,0.380,0.008,0,0,0,0,v
2017-06-01 00:48,0.375,0.007,0,0,0,0,v
2017-06-01 00:54,0.366,0.008,0,0,0,0,v
2017-06-01 01:00,0.355,0.007,0,0,0,0,v
2017-06-01 01:06,0.349,0.007,0,0,0,0,v
2017-06-01 01:12,0.341,0.009,0,0,0,0,v
2017-06-01 01:18,0.333,0.008,0,0,0,0,v
2017-06-01 01:24,0.331,0.007,0,0,0,0,v
2017-06-01 01:30,0.330,0.008,0,0,0,0,v
2017-06-01 01:36,0.329,0.007,0,0,0,0,v
2017-06-01 01:42,0.331,0.005,0,0,0,0,v
2017-06-01 01:48,0.326,0.006,0,0,0,0,v
2017-06-01 01:54,0.324,0.007,0,0,0,0,v
2017-06-01 02:00,0.320,0.008,0,0,0,0,v
2017-06-01 02:06,0.305,0.006,0,0,0,0,v
2017-06-01 02:12,0.298,0.005,0,0,0,0,v
2017-06-01 02:18,0.294,0.005,0,0,0,0,v
2017-06-01 02:24,0.294,0.005,0,0,0,0,v
2017-06-01 02:30,0.291,0.004,0,0,0,0,v
2017-06-01 02:36,0.289,0.005,0,0,0,0,v
2017-06-01 02:42,0.291,0.006,0,0,0,0,v
2017-06-01 02:48,0.292,0.003,0,0,0,0,v
2017-06-01 02:54,0.296,0.004,0,0,0,0,v
2017-06-01 03:00,0.297,0.004,0,0,0,0,v
2017-06-01 03:06,0.302,0.006,0,0,0,0,v
2017-06-01 03:12,0.306,0.004,0,0,0,0,v
2017-06-01 03:18,0.314,0.005,0,0,0,0,v
2017-06-01 03:24,0.320,0.005,0,0,0,0,v
2017-06-01 03:30,0.327,0.004,0,0,0,0,v
2017-06-01 03:36,0.332,0.006,0,0,0,0,v
2017-06-01 03:42,0.342,0.004,0,0,0,0,v
2017-06-01 03:48,0.349,0.006,0,0,0,0,v
2017-06-01 03:54,0.352,0.005,0,0,0,0,v
2017-06-01 04:00,0.358,0.005,0,0,0,0,v
2017-06-01 04:06,0.370,0.007,0,0,0,0,v
2017-06-01 04:12,0.384,0.008,0,0,0,0,v
2017-06-01 04:18,0.398,0.007,0,0,0,0,v
2017-06-01 04:24,0.408,0.008,0,0,0,0,v
2017-06-01 04:30,0.419,0.006,0,0,0,0,v
