Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-01 00:00,0.108,0.010,0,0,0,0,v
2017-01-01 00:06,0.116,0.009,0,0,0,0,v
2017-01-01 00:12,0.122,0.007,0,0,0,0,v
2017-01-01 00:18,0.128,0.009,0,0,0,0,v
2017-01-01 00:24,0.137,0.009,0,0,0,0,v
2017-01-01 00:30,0.149,0.010,0,0,0,0,v
2017-01-01 00:36,0.157,0.008,0,0,0,0,v
2017-01-01 00:42,0.163,0.008,0,0,0,0,v
2017-01-01 00:48,0.170,0.007,0,0,0,0,v
2017-01-01 00:54,0.174,0.009,0,0,0,0,v
2017-01-01 01:00,0.183,0.009,0,0,0,0,v
2017-01-01 01:06,0.188,0.007,0,0,0,0,v
2017-01-01 01:12,0.195,0.008,0,0,0,0,v
2017-01-01 01:18,0.199,0.008,0,0,0,0,v
2017-01-01 01:24,0.206,0.008,0,0,0,0,v
2017-01-01 01:30,0.212,0.006,0,0,0,0,v
2017-01-01 01:36,0.215,0.008,0,0,0,0,v
2017-01-01 01:42,0.219,0.007,0,0,0,0,v
2017-01-01 01:48,0.227,0.007,0,0,0,0,v
2017-01-01 01:54,0.234,0.007,0,0,0,0,v
2017-01-01 02:00,0.240,0.009,0,0,0,0,v
2017-01-01 02:06,0.245,0.008,0,0,0,0,v
2017-01-01 02:12,0.253,0.008,0,0,0,0,v
2017-01-01 02:18,0.254,0.008,0,0,0,0,v
2017-01-01 02:24,0.261,0.008,0,0,0,0,v
2017-01-01 02:30,0.267,0.007,0,0,0,0,v
2017-01-01 02:36,0.275,0.007,0,0,0,0,v
2017-01-01 02:42,0.281,0.010,0,0,0,0,v
2017-01-01 02:48,0.284,0.007,0,0,0,0,v
2017-01-01 02:54,0.286,0.009,0,0,0,0,v
2017-01-01 03:00,0.288,0.008,0,0,0,0,v
2017-01-01 03:06,0.288,0.007,0,0,0,0,v
2017-01-01 03:12,0.290,0.008,0,0,0,0,v
2017-01-01 03:18,0.291,0.009,0,0,0,0,v
2017-01-01 03:24,0.298,0.008,0,0,0,0,v
2017-01-01 03:30,0.299,0.008,0,0,0,0,v
2017-01-01 03:36,0.298,0.008,0,0,0,0,v
2017-01-01 03:42,0.299,0.010,0,0,0,0,v
2017-01-01 03:48,0.301,0.009,0,0,0,0,v
2017-01-01 03:54,0.303,0.008,0,0,0,0,v
2017-01-01 04:00,0.303,0.007,0,0,0,0,v
2017-01-01 04:06,0.303,0.009,0,0,0,0,v
2017-01-01 04:12,0.305,0.010,0,0,0,0,v
2017-01-01 04:18,0.299,0.008,0,0,0,0,v
2017-01-01 04:24,0.293,0.008,0,0,0,0,v
2017-01-01 04:30,0.288,0.009,0,0,0,0,v
2017-01-01 04:36,0.284,0.009,0,0,0,0,v
2017-01-01 04:42,0.283,0.009,0,0,0,0,v
2017-01-01 04:48,0.276,0.009,0,0,0,0,v
2017-01-01 04:54,0.275,0.009,0,0,0,0,v
