Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-09-01 00:00,0.735,0.008,0,0,0,0,v
2017-09-01 00:06,0.731,0.012,0,0,0,0,v
2017-09-01 00:12,0.732,0.013,0,0,0,0,v
2017-09-01 00:18,0.725,0.012,0,0,0,0,v
2017-09-01 00:24,0.718,0.015,0,0,0,0,v
2017-09-01 00:30,0.717,0.016,0,0,0,0,v
2017-09-01 00:36,0.704,0.013,0,0,0,0,v
2017-09-01 00:42,0.695,0.015,0,0,0,0,v
2017-09-01 00:48,0.691,0.016,0,0,0,0,v
2017-09-01 00:54,0.677,0.014,0,0,0,0,v
2017-09-01 01:00,0.671,0.012,0,0,0,0,v
2017-09-01 01:06,0.663,0.011,0,0,0,0,v
2017-09-01 01:12,0.654,0.013,0,0,0,0,v
2017-09-01 01:18,0.647,0.012,0,0,0,0,v
2017-09-01 01:24,0.640,0.013,0,0,0,0,v
2017-09-01 01:30,0.632,0.013,0,0,0,0,v
2017-09-01 01:36,0.624,0.012,0,0,0,0,v
2017-09-01 01:42,0.613,0.013,0,0,0,0,v
2017-09-01 01:48,0.605,0.016,0,0,0,0,v
2017-09-01 01:54,0.596,0.017,0,0,0,0,v
2017-09-01 02:00,0.585,0.012,0,0,0,0,v
2017-09-01 02:06,0.575,0.011,0,0,0,0,v
2017-09-01 02:12,0.565,0.012,0,0,0,0,v
2017-09-01 02:18,0.559,0.012,0,0,0,0,v
2017-09-01 02:24,0.552,0.011,0,0,0,0,v
2017-09-01 02:30,0.543,0.013,0,0,0,0,v
2017-09-01 02:36,0.535,0.013,0,0,0,0,v
2017-09-01 02:42,0.522,0.012,0,0,0,0,v
2017-09-01 02:48,0.519,0.014,0,0,0,0,v
2017-09-01 02:54,0.512,0.013,0,0,0,0,v
2017-09-01 03:00,0.500,0.012,0,0,0,0,v
2017-09-01 03:06,0.490,0.013,0,0,0,0,v
2017-09-01 03:12,0.484,0.012,0,0,0,0,v
2017-09-01 03:18,0.472,0.011,0,0,0,0,v
2017-09-01 03:24,0.466,0.011,0,0,0,0,v
2017-09-01 03:30,0.450,0.012,0,0,0,0,v
2017-09-01 03:36,0.442,0.014,0,0,0,0,v
2017-09-01 03:42,0.437,0.013,0,0,0,0,v
2017-09-01 03:48,0.426,0.013,0,0,0,0,v
2017-09-01 03:54,0.419,0.013,0,0,0,0,v
2017-09-01 04:00,0.408,0.012,0,0,0,0,v
2017-09-01 04:06,0.406,0.013,0,0,0,0,v
2017-09-01 04:12,0.398,0.013,0,0,0,0,v
2017-09-01 04:18,0.394,0.015,0,0,0,0,v
2017-09-01 04:24,0.388,0.012,0,0,0,0,v
2017-09-01 04:30,0.385,0.012,0,0,0,0,v
2017-09-01 04:36,0.380,0.017,0,0,0,0,v
2017-09-01 04:42,0.375,0.017,0,0,0,0,v
2017-09-01 04:48,0.369,0.013,0,0,0,0,v
2017-09-01 04:54,0.367,0.013,0,0,0,0,v
2017-09-01 05:00,0.357,0.015,0,0,0,0,v
2017-09-01 05:06,0.358,0.014,0,0,0,0,v
2017-09-01 05:12,0.356,0.014,0,0,0,0,v
2017-09-01 05:18,0.357,0.012,0,0,0,0,v
2017-09-01 05:24,0.352,0.012,0,0,0,0,v
2017-09-01 05:30,0.348,0.012,0,0,0,0,v
2017-09-01 05:36,0.348,0.014,0,0,0,0,v
2017-09-01 05:42,0.346,0.014,0,0,0,0,v
2017-09-01 05:48,0.351,0.016,0,0,0,0,v
2017-09-01 05:54,0.352,0.016,0,0,0,0,v
2017-09-01 06:00,0.351,0.013,0,0,0,0,v
2017-09-01 06:06,0.347,0.016,0,0,0,0,v
2017-09-01 06:12,0.341,0.017,0,0,0,0,v
2017-09-01 06:18,0.338,0.012,0,0,0,0,v
2017-09-01 06:24,0.336,0.014,0,0,0,0,v
2017-09-01 06:30,0.335,0.013,0,0,0,0,v
2017-09-01 06:36,0.335,0.014,0,0,0,0,v
2017-09-01 06:42,0.336,0.014,0,0,0,0,v
2017-09-01 06:48,0.336,0.016,0,0,0,0,v
2017-09-01 06:54,0.340,0.014,0,0,0,0,v
2017-09-01 07:00,0.342,0.013,0,0,0,0,v
2017-09-01 07:06,0.341,0.014,0,0,0,0,v
2017-09-01 07:12,0.348,0.013,0,0,0,0,v
2017-09-01 07:18,0.351,0.012,0,0,0,0,v
2017-09-01 07:24,0.352,0.013,0,0,0,0,v
2017-09-01 07:30,0.352,0.014,0,0,0,0,v
2017-09-01 07:36,0.360,0.014,0,0,0,0,v
2017-09-01 07:42,0.363,0.014,0,0,0,0,v
2017-09-01 07:48,0.364,0.014,0,0,0,0,v
2017-09-01 07:54,0.368,0.014,0,0,0,0,v
2017-09-01 08:00,0.379,0.015,0,0,0,0,v
2017-09-01 08:06,0.382,0.015,0,0,0,0,v
2017-09-01 08:12,0.386,0.013,0,0,0,0,v
2017-09-01 08:18,0.394,0.013,0,0,0,0,v
2017-09-01 08:24,0.397,0.011,0,0,0,0,v
2017-09-01 08:30,0.399,0.012,0,0,0,0,v
2017-09-01 08:36,0.406,0.012,0,0,0,0,v
2017-09-01 08:42,0.410,0.013,0,0,0,0,v
2017-09-01 08:48,0.415,0.014,0,0,0,0,v
2017-09-01 08:54,0.415,0.012,0,0,0,0,v
2017-09-01 09:00,0.422,0.013,0,0,0,0,v
2017-09-01 09:06,0.426,0.014,0,0,0,0,v
2017-09-01 09:12,0.436,0.014,0,0,0,0,v
2017-09-01 09:18,0.437,0.012,0,0,0,0,v
2017-09-01 09:24,0.439,0.013,0,0,0,0,v
2017-09-01 09:30,0.448,0.015,0,0,0,0,v
2017-09-01 09:36,0.452,0.012,0,0,0,0,v
2017-09-01 09:42,0.461,0.014,0,0,0,0,v
2017-09-01 09:48,0.458,0.014,0,0,0,0,v
2017-09-01 09:54,0.464,0.011,0,0,0,0,v
2017-09-01 10:00,0.461,0.011,0,0,0,0,v
2017-09-01 10:06,0.469,0.013,0,0,0,0,v
2017-09-01 10:12,0.471,0.014,0,0,0,0,v
2017-09-01 10:18,0.472,0.015,0,0,0,0,v
2017-09-01 10:24,0.473,0.014,0,0,0,0,v
2017-09-01 10:30,0.478,0.014,0,0,0,0,v
2017-09-01 10:36,0.479,0.015,0,0,0,0,v
2017-09-01 10:42,0.477,0.011,0,0,0,0,v
2017-09-01 10:48,0.478,0.011,0,0,0,0,v
2017-09-01 10:54,0.474,0.015,0,0,0,0,v
2017-09-01 11:00,0.474,0.013,0,0,0,0,v
2017-09-01 11:06,0.475,0.013,0,0,0,0,v
2017-09-01 11:12,0.475,0.013,0,0,0,0,v
2017-09-01 11:18,0.471,0.013,0,0,0,0,v
2017-09-01 11:24,0.475,0.013,0,0,0,0,v
2017-09-01 11:30,0.475,0.013,0,0,0,0,v
2017-09-01 11:36,0.478,0.015,0,0,0,0,v
2017-09-01 11:42,0.482,0.014,0,0,0,0,v
2017-09-01 11:48,0.476,0.014,0,0,0,0,v
2017-09-01 11:54,0.471,0.013,0,0,0,0,v
2017-09-01 12:00,0.469,0.011,0,0,0,0,v
2017-09-01 12:06,0.462,0.013,0,0,0,0,v
2017-09-01 12:12,0.459,0.013,0,0,0,0,v
2017-09-01 12:18,0.457,0.013,0,0,0,0,v
2017-09-01 12:24,0.450,0.010,0,0,0,0,v
2017-09-01 12:30,0.449,0.008,0,0,0,0,v
2017-09-01 12:36,0.446,0.012,0,0,0,0,v
2017-09-01 12:42,0.439,0.010,0,0,0,0,v
2017-09-01 12:48,0.436,0.012,0,0,0,0,v
2017-09-01 12:54,0.429,0.014,0,0,0,0,v
2017-09-01 13:00,0.432,0.012,0,0,0,0,v
2017-09-01 13:06,0.428,0.010,0,0,0,0,v
2017-09-01 13:12,0.422,0.012,0,0,0,0,v
2017-09-01 13:18,0.415,0.011,0,0,0,0,v
2017-09-01 13:24,0.411,0.009,0,0,0,0,v
2017-09-01 13:30,0.401,0.009,0,0,0,0,v
2017-09-01 13:36,0.395,0.009,0,0,0,0,v
2017-09-01 13:42,0.384,0.012,0,0,0,0,v
2017-09-01 13:48,0.377,0.009,0,0,0,0,v
2017-09-01 13:54,0.371,0.008,0,0,0,0,v
2017-09-01 14:00,0.365,0.007,0,0,0,0,v
2017-09-01 14:06,0.358,0.007,0,0,0,0,v
2017-09-01 14:12,0.357,0.010,0,0,0,0,v
2017-09-01 14:18,0.351,0.009,0,0,0,0,v
2017-09-01 14:24,0.346,0.008,0,0,0,0,v
2017-09-01 14:30,0.338,0.009,0,0,0,0,v
2017-09-01 14:36,0.330,0.008,0,0,0,0,v
2017-09-01 14:42,0.326,0.008,0,0,0,0,v
2017-09-01 14:48,0.322,0.011,0,0,0,0,v
2017-09-01 14:54,0.317,0.010,0,0,0,0,v
2017-09-01 15:00,0.309,0.010,0,0,0,0,v
2017-09-01 15:06,0.302,0.011,0,0,0,0,v
2017-09-01 15:12,0.296,0.009,0,0,0,0,v
2017-09-01 15:18,0.295,0.010,0,0,0,0,v
2017-09-01 15:24,0.286,0.012,0,0,0,0,v
2017-09-01 15:30,0.286,0.010,0,0,0,0,v
2017-09-01 15:36,0.281,0.016,0,0,0,0,v
2017-09-01 15:42,0.281,0.008,0,0,0,0,v
2017-09-01 15:48,0.274,0.009,0,0,0,0,v
2017-09-01 15:54,0.273,0.010,0,0,0,0,v
2017-09-01 16:00,0.271,0.009,0,0,0,0,v
2017-09-01 16:06,0.268,0.008,0,0,0,0,v
2017-09-01 16:12,0.264,0.009,0,0,0,0,v
2017-09-01 16:18,0.263,0.008,0,0,0,0,v
2017-09-01 16:24,0.260,0.008,0,0,0,0,v
2017-09-01 16:30,0.257,0.008,0,0,0,0,v
2017-09-01 16:36,0.258,0.009,0,0,0,0,v
2017-09-01 16:42,0.256,0.009,0,0,0,0,v
2017-09-01 16:48,0.259,0.009,0,0,0,0,v
2017-09-01 16:54,0.257,0.009,0,0,0,0,v
2017-09-01 17:00,0.253,0.008,0,0,0,0,v
2017-09-01 17:06,0.255,0.007,0,0,0,0,v
2017-09-01 17:12,0.254,0.007,0,0,0,0,v
2017-09-01 17:18,0.259,0.007,0,0,0,0,v
2017-09-01 17:24,0.259,0.007,0,0,0,0,v
2017-09-01 17:30,0.262,0.007,0,0,0,0,v
2017-09-01 17:36,0.266,0.008,0,0,0,0,v
2017-09-01 17:42,0.272,0.006,0,0,0,0,v
2017-09-01 17:48,0.277,0.005,0,0,0,0,v
2017-09-01 17:54,0.279,0.006,0,0,0,0,v
2017-09-01 18:00,0.283,0.007,0,0,0,0,v
2017-09-01 18:06,0.291,0.007,0,0,0,0,v
2017-09-01 18:12,0.299,0.005,0,0,0,0,v
2017-09-01 18:18,0.303,0.007,0,0,0,0,v
2017-09-01 18:24,0.307,0.006,0,0,0,0,v
2017-09-01 18:30,0.317,0.008,0,0,0,0,v
2017-09-01 18:36,0.324,0.008,0,0,0,0,v
2017-09-01 18:42,0.333,0.005,0,0,0,0,v
2017-09-01 18:48,0.340,0.006,0,0,0,0,v
2017-09-01 18:54,0.346,0.007,0,0,0,0,v
2017-09-01 19:00,0.356,0.008,0,0,0,0,v
2017-09-01 19:06,0.367,0.006,0,0,0,0,v
2017-09-01 19:12,0.378,0.008,0,0,0,0,v
2017-09-01 19:18,0.390,0.009,0,0,0,0,v
2017-09-01 19:24,0.397,0.010,0,0,0,0,v
2017-09-01 19:30,0.404,0.013,0,0,0,0,v
2017-09-01 19:36,0.410,0.011,0,0,0,0,v
2017-09-01 19:42,0.417,0.012,0,0,0,0,v
2017-09-01 19:48,0.428,0.010,0,0,0,0,v
2017-09-01 19:54,0.440,0.010,0,0,0,0,v
2017-09-01 20:00,0.450,0.010,0,0,0,0,v
2017-09-01 20:06,0.463,0.009,0,0,0,0,v
2017-09-01 20:12,0.473,0.010,0,0,0,0,v
2017-09-01 20:18,0.486,0.007,0,0,0,0,v
2017-09-01 20:24,0.494,0.012,0,0,0,0,v
2017-09-01 20:30,0.498,0.013,0,0,0,0,v
2017-09-01 20:36,0.515,0.012,0,0,0,0,v
2017-09-01 20:42,0.523,0.012,0,0,0,0,v
2017-09-01 20:48,0.537,0.013,0,0,0,0,v
2017-09-01 20:54,0.547,0.011,0,0,0,0,v
2017-09-01 21:00,0.553,0.010,0,0,0,0,v
2017-09-01 21:06,0.564,0.010,0,0,0,0,v
2017-09-01 21:12,0.574,0.009,0,0,0,0,v
2017-09-01 21:18,0.589,0.009,0,0,0,0,v
2017-09-01 21:24,0.595,0.011,0,0,0,0,v
2017-09-01 21:30,0.605,0.009,0,0,0,0,v
2017-09-01 21:36,0.611,0.009,0,0,0,0,v
2017-09-01 21:42,0.619,0.006,0,0,0,0,v
2017-09-01 21:48,0.623,0.009,0,0,0,0,v
2017-09-01 21:54,0.633,0.008,0,0,0,0,v
2017-09-01 22:00,0.640,0.008,0,0,0,0,v
2017-09-01 22:06,0.650,0.007,0,0,0,0,v
2017-09-01 22:12,0.655,0.006,0,0,0,0,v
2017-09-01 22:18,0.657,0.007,0,0,0,0,v
2017-09-01 22:24,0.660,0.006,0,0,0,0,v
2017-09-01 22:30,0.663,0.007,0,0,0,0,v
2017-09-01 22:36,0.667,0.009,0,0,0,0,v
2017-09-01 22:42,0.674,0.011,0,0,0,0,v
2017-09-01 22:48,0.678,0.010,0,0,0,0,v
2017-09-01 22:54,0.688,0.011,0,0,0,0,v
2017-09-01 23:00,0.691,0.012,0,0,0,0,v
2017-09-01 23:06,0.693,0.010,0,0,0,0,v
2017-09-01 23:12,0.692,0.011,0,0,0,0,v
2017-09-01 23:18,0.698,0.009,0,0,0,0,v
2017-09-01 23:24,0.704,0.012,0,0,0,0,v
2017-09-01 23:30,0.706,0.011,0,0,0,0,v
2017-09-01 23:36,0.711,0.010,0,0,0,0,v
2017-09-01 23:42,0.718,0.013,0,0,0,0,v
2017-09-01 23:48,0.716,0.013,0,0,0,0,v
