Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-05-01 00:00,0.075,0.000,1,0,0,0,v
2017-05-01 00:06,0.071,0.000,1,0,0,0,v
2017-05-01 00:12,0.069,0.000,1,0,0,0,v
2017-05-01 00:18,0.067,0.000,1,0,0,0,v
2017-05-01 00:24,0.065,0.000,1,0,0,0,v
2017-05-01 00:30,0.065,0.007,0,0,0,0,v
2017-05-01 00:36,0.065,0.000,1,0,0,0,v
2017-05-01 00:42,0.066,0.007,0,0,0,0,v
2017-05-01 00:48,0.067,0.000,1,0,0,0,v
2017-05-01 00:54,0.067,0.008,0,0,0,0,v
2017-05-01 01:00,0.073,0.000,1,0,0,0,v
2017-05-01 01:06,0.078,0.008,0,0,0,0,v
2017-05-01 01:12,0.085,0.008,0,0,0,0,v
2017-05-01 01:18,0.087,0.008,0,0,0,0,v
2017-05-01 01:24,0.094,0.000,1,0,0,0,v
2017-05-01 01:30,0.101,0.000,1,0,0,0,v
2017-05-01 01:36,0.108,0.008,0,0,0,0,v
2017-05-01 01:42,0.117,0.000,1,0,0,0,v
2017-05-01 01:48,0.128,0.000,1,0,0,0,v
2017-05-01 01:54,0.139,0.000,1,0,0,0,v
2017-05-01 02:00,0.148,0.011,0,0,0,0,v
2017-05-01 02:06,0.161,0.009,0,0,0,0,v
2017-05-01 02:12,0.171,0.009,0,0,0,0,v
2017-05-01 02:18,0.182,0.012,0,0,0,0,v
2017-05-01 02:24,0.194,0.010,0,0,0,0,v
2017-05-01 02:30,0.202,0.009,0,0,0,0,v
2017-05-01 02:36,0.215,0.000,1,0,0,0,v
2017-05-01 02:42,0.228,0.000,1,0,0,0,v
2017-05-01 02:48,0.242,0.000,1,0,0,0,v
2017-05-01 02:54,0.255,0.012,0,0,0,0,v
2017-05-01 03:00,0.265,0.012,0,0,0,0,v
2017-05-01 03:06,0.276,0.000,1,0,0,0,v
2017-05-01 03:12,0.287,0.000,1,0,0,0,v
2017-05-01 03:18,0.297,0.000,1,0,0,0,v
2017-05-01 03:24,0.308,0.010,0,0,0,0,v
2017-05-01 03:30,0.319,0.009,0,0,0,0,v
2017-05-01 03:36,0.329,0.000,1,0,0,0,v
2017-05-01 03:42,0.340,0.000,1,0,0,0,v
2017-05-01 03:48,0.351,0.000,1,0,0,0,v
2017-05-01 03:54,0.362,0.000,1,0,0,0,v
2017-05-01 04:00,0.374,0.000,1,0,0,0,v
2017-05-01 04:06,0.386,0.000,1,0,0,0,v
2017-05-01 04:12,0.398,0.011,0,0,0,0,v
2017-05-01 04:18,0.409,0.000,1,0,0,0,v
2017-05-01 04:24,0.420,0.000,1,0,0,0,v
2017-05-01 04:30,0.430,0.000,1,0,0,0,v
2017-05-01 04:36,0.439,0.000,1,0,0,0,v
2017-05-01 04:42,0.447,0.000,1,0,0,0,v
2017-05-01 04:48,0.455,0.010,0,0,0,0,v
2017-05-01 04:54,0.461,0.000,1,0,0,0,v
2017-05-01 05:00,0.467,0.000,1,0,0,0,v
2017-05-01 05:06,0.473,0.010,0,0,0,0,v
2017-05-01 05:12,0.477,0.000,1,0,0,0,v
2017-05-01 05:18,0.482,0.013,0,0,0,0,v
2017-05-01 05:24,0.492,0.000,1,0,0,0,v
2017-05-01 05:30,0.499,0.000,1,0,0,0,v
