Customer:,Dominion - Cove Point,,,,,,,,,,,,,
Exported parameters:,EcoNet Battery/Battery,YSI 6 Series/Temp,YSI 6 Series/Cond,YSI 6 Series/SpCond,YSI 6 Series/Resistivity,YSI 6 Series/TDS,YSI 6 Series/Salinity,YSI 6 Series/pH,YSI 6 Series/Depth,YSI 6 Series/Battery,YSI 6 Series/Turbidity+,YSI 6 Series/ODO%,YSI 6 Series/ODO Conc,
Start Date:,4/19/2017 0:00,,,,,,,,,,,,,
End Date:,5/3/2017 23:59,,,,,,,,,,,,,
,,103276,104691,104694,104696,104698,104700,104701,104705,104710,104711,104756,104761,104762
Date,Time,Battery,Temp,Cond,SpCond,Resistivity,TDS,Salinity,pH,Depth,Battery,Turbidity+,ODO%,ODO Conc
MM/dd/yyyy,HH:mm,V,C,mS/cm,mS/cm,KOhm.cm,g/L,ppt, ,ft,V,NTU,%,mg/L
4/19/2017,0:00,12.276,17.45000076,,2.400000095,,,1.24000001,,1.422000051,12.60000038,,87.90000153,8.359999657
4/19/2017,0:15,12.264,17.25,,2.405999899,,,1.24000001,,1.421000004,12.60000038,,87.09999847,8.31000042
4/19/2017,0:30,12.264,17.04000092,,2.410000086,,,1.25,,1.421000004,12.60000038,,86.59999847,8.300000191
4/19/2017,0:45,12.264,16.93000031,,2.411999941,,,1.25,,1.421000004,12.60000038,,86.40000153,8.31000042
4/19/2017,1:00,12.264,16.78000069,,2.414000034,,,1.25,,1.419999957,12.60000038,,86,8.289999962
4/19/2017,1:15,12.252,16.56999969,,2.411999941,,,1.25,,1.421000004,12.60000038,,85.09999847,8.239999771
4/19/2017,1:30,12.24,16.39999962,,2.403000116,,,1.24000001,,1.41900003,12.60000038,,84.90000153,8.239999771
4/19/2017,1:45,12.24,16.36000061,,2.400000095,,,1.24000001,,1.417999983,12.60000038,,85.19999695,8.279999733
4/19/2017,2:00,12.24,16.27000046,,2.395999908,,,1.24000001,,1.417000055,12.60000038,,84.90000153,8.270000458
4/19/2017,2:15,12.24,16.17000008,,2.39199996,,,1.24000001,,1.417000055,12.60000038,,84.5,8.25
4/19/2017,2:30,12.228,16.09000015,,2.397000074,,,1.24000001,,1.41900003,12.60000038,,84.5,8.260000229
4/19/2017,2:45,12.228,15.97999954,,2.388999939,,,1.24000001,,1.414000034,12.60000038,,84.19999695,8.25
4/19/2017,3:00,12.228,15.82999992,,2.398000002,,,1.24000001,,1.414000034,12.60000038,,83.5,8.210000038
4/19/2017,3:15,12.216,15.68999958,,2.395999908,,,1.24000001,,1.414999962,12.60000038,,82.80000305,8.159999847
4/19/2017,3:30,12.216,15.52999973,,2.388999939,,,1.24000001,,1.414999962,12.60000038,,82.30000305,8.140000343
4/19/2017,3:45,12.204,15.44999981,,2.378999949,,,1.230000019,,1.412999988,12.60000038,,81.40000153,8.069999695
4/19/2017,4:00,12.192,15.36999989,,2.38499999,,,1.230000019,,1.414999962,12.60000038,,80.90000153,8.029999733
4/19/2017,4:15,12.204,15.25,,2.378999949,,,1.230000019,,1.414999962,12.5,,80.59999847,8.029999733
4/19/2017,4:30,12.192,15.18999958,,2.372999907,,,1.230000019,,1.414999962,12.5,,81.19999695,8.090000153
4/19/2017,4:45,12.192,15.10000038,,2.381000042,,,1.230000019,,1.416000009,12.5,,80.80000305,8.069999695
4/19/2017,5:00,12.18,14.94999981,,2.372999907,,,1.230000019,,1.411999941,12.5,,79.30000305,7.940000057
4/19/2017,5:15,12.168,14.84000015,,2.358999968,,,1.220000029,,1.412999988,12.5,,78.59999847,7.900000095
4/19/2017,5:30,12.168,14.82999992,,2.355999947,,,1.220000029,,1.412999988,12.5,,79,7.940000057
4/19/2017,5:45,12.192,14.78999996,,2.355999947,,,1.220000029,,1.414000034,12.60000038,,79.80000305,8.020000458
4/19/2017,6:00,12.312,14.77000046,,2.35800004,,,1.220000029,,1.411999941,12.60000038,,80.40000153,8.090000153
4/19/2017,6:15,12.384,14.80000019,,2.36500001,,,1.220000029,,1.411000013,12.69999981,,80.40000153,8.079999924
4/19/2017,6:30,12.552,14.81000042,,2.369999886,,,1.230000019,,1.411999941,12.89999962,,80.90000153,8.130000114
4/19/2017,6:45,12.744,14.88000011,,2.378999949,,,1.230000019,,1.411000013,13.10000038,,80.90000153,8.119999886
4/19/2017,7:00,12.768,14.88000011,,2.372999907,,,1.230000019,,1.411999941,13.19999981,,80.59999847,8.090000153
4/19/2017,7:15,12.864,14.89000034,,2.381000042,,,1.230000019,,1.412999988,13.19999981,,79.90000153,8.010000229
4/19/2017,7:30,13.236,14.93000031,,2.38499999,,,1.24000001,,1.414999962,13.5,,79.59999847,7.980000019
4/19/2017,7:45,13.056,14.96000004,,2.401000023,,,1.24000001,,1.412999988,13.39999962,,81,8.109999657
4/19/2017,8:00,13.068,14.98999977,,2.40899992,,,1.25,,1.411999941,13.39999962,,81.5,8.159999847
4/19/2017,8:15,13.044,15.01000023,,2.403000116,,,1.24000001,,1.412999988,13.39999962,,82.19999695,8.220000267
4/19/2017,8:30,13.248,15.05000019,,2.411000013,,,1.25,,1.412999988,13.60000038,,82.80000305,8.270000458
