Customer:,Dominion - Cove Point,,,,,,
Exported parameters:,YSI 6 Series/Temp,YSI 6 Series/SpCond,YSI 6 Series/Salinity,YSI 6 Series/Depth,YSI 6 Series/ODO%,YSI 6 Series/ODO Conc,
Start Date:,4/19/2017 0:00,,,,,,
End Date:,5/3/2017 23:59,,,,,,
,,162782,162787,162792,162801,162852,162853
Date,Time,Temp,SpCond,Salinity,Depth,ODO%,ODO Conc
MM/dd/yyyy,HH:mm,C,mS/cm,ppt,ft,%,mg/L
4/19/2017,0:00,17.38999939,2.302999973,1.190000057,1.585999966,89.09999847,8.479999542
4/19/2017,0:15,17.23999977,2.309999943,1.190000057,1.583999991,88.30000305,8.430000305
4/19/2017,0:30,17.17000008,2.309999943,1.190000057,1.585999966,88.69999695,8.479999542
4/19/2017,0:45,17.04999924,2.313999891,1.190000057,1.585999966,88.59999847,8.489999771
4/19/2017,1:00,16.93000031,2.313999891,1.190000057,1.583999991,88.19999695,8.470000267
4/19/2017,1:15,16.79999924,2.312000036,1.190000057,1.590000033,87.90000153,8.470000267
4/19/2017,1:30,16.61000061,2.306999922,1.190000057,1.583999991,86.80000305,8.390000343
4/19/2017,1:45,16.35000038,2.313999891,1.200000048,1.588000059,84.19999695,8.18999958
4/19/2017,2:00,16.15999985,2.319000006,1.200000048,1.583999991,83.69999695,8.180000305
4/19/2017,2:15,16.22999954,2.309999943,1.190000057,1.582999945,85.09999847,8.300000191
4/19/2017,2:30,16.22999954,2.315999985,1.200000048,1.58099997,85.40000153,8.329999924
4/19/2017,2:45,16.19000053,2.299000025,1.190000057,1.58099997,85.5,8.340000153
4/19/2017,3:00,16.09000015,2.28399992,1.179999948,1.580000043,83.69999695,8.18999958
4/19/2017,3:15,15.90999985,2.325000048,1.200000048,1.58099997,83.30000305,8.180000305
4/19/2017,3:30,15.69999981,2.325999975,1.200000048,1.580000043,82.40000153,8.119999886
4/19/2017,3:45,15.64000034,2.33100009,1.210000038,1.578999996,80.5,7.949999809
4/19/2017,4:00,15.53999996,2.329999924,1.200000048,1.58099997,81.5,8.06000042
4/19/2017,4:15,15.43999958,2.33100009,1.200000048,1.58099997,81,8.029999733
4/19/2017,4:30,15.36999989,2.335999966,1.210000038,1.578999996,80.30000305,7.96999979
4/19/2017,4:45,15.31000042,2.335999966,1.210000038,1.580000043,79.80000305,7.940000057
4/19/2017,5:00,15.27000046,2.349999905,1.220000029,1.577000022,79.69999695,7.929999828
4/19/2017,5:15,15.21000004,2.349999905,1.220000029,1.578999996,79.69999695,7.949999809
4/19/2017,5:30,15.15999985,2.349999905,1.220000029,1.578999996,78.30000305,7.820000172
4/19/2017,5:45,15.09000015,2.351000071,1.220000029,1.578999996,79.30000305,7.920000076
4/19/2017,6:00,14.98999977,2.351999998,1.220000029,1.578999996,79.40000153,7.949999809
4/19/2017,6:15,14.85000038,2.352999926,1.220000029,1.577000022,79.5,7.980000019
4/19/2017,6:30,14.56000042,2.357000113,1.220000029,1.577000022,77.90000153,7.880000114
4/19/2017,6:45,14.42000008,2.348999977,1.220000029,1.577999949,78.40000153,7.949999809
4/19/2017,7:00,14.52999973,2.345999956,1.210000038,1.580000043,79.30000305,8.020000458
4/19/2017,7:15,14.64000034,2.351000071,1.220000029,1.577999949,79.90000153,8.06000042
4/19/2017,7:30,14.68000031,2.344000101,1.210000038,1.577999949,80.90000153,8.149999619
4/19/2017,7:45,14.72000027,2.346999884,1.210000038,1.578999996,81.90000153,8.25
4/19/2017,8:00,14.71000004,2.346999884,1.210000038,1.577999949,81.90000153,8.25
4/19/2017,8:15,14.64999962,2.351999998,1.220000029,1.578999996,81.59999847,8.229999542
4/19/2017,8:30,14.67000008,2.34100008,1.210000038,1.578999996,83.59999847,8.430000305
4/19/2017,8:45,14.64999962,2.338999987,1.210000038,1.580000043,84.5,8.529999733
4/19/2017,9:00,14.71000004,2.335000038,1.210000038,1.578999996,85.5,8.619999886
4/19/2017,9:15,14.71000004,2.33100009,1.210000038,1.582000017,86.80000305,8.739999771
4/19/2017,9:30,14.86999989,2.321000099,1.200000048,1.58099997,88.09999847,8.850000381
4/19/2017,9:45,15.15999985,2.313999891,1.200000048,1.58099997,90.40000153,9.020000458
4/19/2017,10:00,15.43000031,2.318000078,1.200000048,1.582000017,91.30000305,9.050000191
4/19/2017,10:15,15.67000008,2.323999882,1.200000048,1.582999945,92.30000305,9.109999657
4/19/2017,10:30,15.85000038,2.318000078,1.200000048,1.582000017,94,9.239999771
4/19/2017,10:45,16.03000069,2.319999933,1.200000048,1.583999991,95.5,9.359999657
4/19/2017,11:00,16.31999969,2.312000036,1.190000057,1.585000038,97.40000153,9.479999542
4/19/2017,11:15,16.62000084,2.313999891,1.200000048,1.588000059,99.19999695,9.590000153
4/19/2017,11:30,16.78000069,2.316999912,1.200000048,1.588000059,100.5999985,9.699999809
4/19/2017,11:45,16.70000076,2.321000099,1.200000048,1.585999966,100.1999969,9.670000076
4/19/2017,12:00,16.57999992,2.323999882,1.200000048,1.588000059,100,9.680000305
4/19/2017,12:15,16.5,2.329999924,1.200000048,1.585000038,100.1999969,9.720000267
