Date,Salinity,Station
7/4/2017 12:00,1.12,Mid
7/4/2017 12:15,1.12,Mid
7/4/2017 12:30,1.12,Mid
7/4/2017 12:45,1.11,Mid
7/4/2017 13:00,1.12,Mid
7/4/2017 13:15,1.12,Mid
7/4/2017 13:30,1.12,Mid
7/4/2017 13:45,1.11,Mid
7/4/2017 14:00,1.12,Mid
7/4/2017 14:15,1.12,Mid
7/4/2017 14:30,1.12,Mid
7/4/2017 14:45,1.12,Mid
7/4/2017 15:00,1.11,Mid
7/4/2017 15:15,1.12,Mid
7/4/2017 15:30,1.12,Mid
7/4/2017 15:45,1.12,Mid
7/4/2017 16:00,1.13,Mid
7/4/2017 16:15,1.12,Mid
7/4/2017 16:30,1.12,Mid
7/4/2017 16:45,1.12,Mid
7/4/2017 17:00,1.12,Mid
7/4/2017 17:15,1.13,Mid
7/4/2017 17:30,1.12,Mid
7/4/2017 17:45,1.12,Mid
7/4/2017 18:00,1.12,Mid
7/4/2017 18:15,1.12,Mid
7/4/2017 18:30,1.12,Mid
7/4/2017 18:45,1.12,Mid
7/4/2017 19:00,1.12,Mid
7/4/2017 19:15,1.12,Mid
7/4/2017 19:30,1.12,Mid
7/4/2017 19:45,1.12,Mid
7/4/2017 20:00,1.12,Mid
7/4/2017 20:15,1.12,Mid
7/4/2017 20:30,1.11,Mid
7/4/2017 20:45,1.12,Mid
7/4/2017 21:00,1.11,Mid
7/4/2017 21:15,1.12,Mid
7/4/2017 21:30,1.12,Mid
7/4/2017 21:45,1.12,Mid
7/4/2017 22:00,1.12,Mid
7/4/2017 22:15,1.12,Mid
7/4/2017 22:30,1.12,Mid
7/4/2017 22:45,1.12,Mid
7/4/2017 23:00,1.12,Mid
7/4/2017 23:15,1.12,Mid
7/4/2017 23:30,1.12,Mid
7/4/2017 23:45,1.12,Mid
7/5/2017 0:00,1.12,Mid
7/5/2017 0:15,1.12,Mid
7/5/2017 0:30,1.12,Mid
7/5/2017 0:45,1.12,Mid
7/5/2017 1:00,1.12,Mid
7/5/2017 1:15,1.12,Mid
7/5/2017 1:30,1.12,Mid
