Customer:,Dominion - Cove Point,,,,,,,,,
Exported parameters:,Generic SDI12/Wind Dir,Generic SDI12/Wind Speed Min,Generic SDI12/Wind Speed,Generic SDI12/Wind Speed Max,Generic SDI12/Air Temp,Generic SDI12/RH,Generic SDI12/BP,Generic SDI12/Rain Fall,Generic SDI12/Hail Intensity,
Start Date:,4/5/2017 0:00,,,,,,,,,
End Date:,4/19/2017 23:59,,,,,,,,,
,,105002,105003,105004,105005,105006,105007,105008,105009,105010
Date,Time,Wind Dir,Wind Speed Min,Wind Speed,Wind Speed Max,Air Temp,RH,BP,Rain Fall,Hail Intensity
MM/dd/yyyy,HH:mm,Degrees,MPH,mph,MPH,F,%,inHg,in,Hits
4/5/2017,0:00,257,0.200000003,1.600000024,3,61.09999847,60.70000076,29.76000023,0,0
4/5/2017,0:15,217,0.100000001,1.299999952,4.199999809,62.40000153,53.90000153,29.76000023,0,0
4/5/2017,0:30,274,0.400000006,1.899999976,4.300000191,62.40000153,56.79999924,29.77000046,0,0
4/5/2017,0:45,267,0.400000006,2.099999905,3.799999952,63.79999924,50.20000076,29.77000046,0,0
4/5/2017,1:00,247,0.800000012,2.700000048,4.900000095,65.09999847,48.29999924,29.77000046,0,0
4/5/2017,1:15,248,0.400000006,2.099999905,5.199999809,64.69999695,45.5,29.77000046,0,0
4/5/2017,1:30,293,0.899999976,3.400000095,6.800000191,65.09999847,47.90000153,29.78000069,0,0
4/5/2017,1:45,266,0.899999976,2.700000048,5,64.69999695,45.70000076,29.78000069,0,0
4/5/2017,2:00,287,1,3.400000095,6.5,63.79999924,49.59999847,29.79000092,0,0
4/5/2017,2:15,299,1.899999976,4.900000095,8.399999619,65.09999847,50.20000076,29.79000092,0,0
4/5/2017,2:30,285,1.399999976,4.400000095,9.199999809,64.69999695,45.59999847,29.79000092,0,0
4/5/2017,2:45,279,1.600000024,4.099999905,8.300000191,64,47.70000076,29.79000092,0,0
4/5/2017,3:00,269,0.200000003,3.299999952,8.100000381,63.29999924,51.40000153,29.79999924,0,0
4/5/2017,3:15,294,3.200000048,6.099999905,11,63.79999924,47.59999847,29.79999924,0,0
4/5/2017,3:30,294,3.200000048,6.599999905,10.39999962,63.5,48.70000076,29.80999947,0,0
4/5/2017,3:45,288,2.5,5.699999809,9.699999809,62.90000153,49.70000076,29.81999969,0,0
4/5/2017,4:00,298,3.599999905,5.900000095,9.300000191,62.90000153,46.90000153,29.81999969,0,0
4/5/2017,4:15,299,3.299999952,6.5,10.39999962,63.09999847,46,29.82999992,0,0
4/5/2017,4:30,300,2.5,5.599999905,9.5,63.09999847,46,29.84000015,0,0
4/5/2017,4:45,299,1.299999952,4.800000191,9.100000381,62.90000153,45.90000153,29.84000015,0,0
4/5/2017,5:00,310,3.400000095,5.300000191,8.399999619,62.20000076,46,29.85000038,0,0
4/5/2017,5:15,310,3.099999905,5.099999905,8.199999809,62.20000076,45.70000076,29.85000038,0,0
4/5/2017,5:30,316,3.799999952,5.900000095,8.699999809,62.40000153,46.29999924,29.86000061,0,0
4/5/2017,5:45,318,4.400000095,7.300000191,10.60000038,63.09999847,44.59999847,29.86000061,0,0
4/5/2017,6:00,317,5.900000095,8.300000191,12.89999962,63.5,43.90000153,29.87000084,0,0
4/5/2017,6:15,318,4.599999905,8.899999619,13.89999962,63.79999924,45.29999924,29.87999916,0,0
4/5/2017,6:30,316,5.800000191,8.899999619,12.30000019,64,44.59999847,29.88999939,0,0
4/5/2017,6:45,325,4.800000191,8.199999809,13.5,62.59999847,50.5,29.89999962,0,0
4/5/2017,7:00,332,4.699999809,7.400000095,10.69999981,61.29999924,53.29999924,29.89999962,0,0
4/5/2017,7:15,334,5.199999809,8,13.5,62.59999847,50.40000153,29.90999985,0,0
4/5/2017,7:30,336,4.199999809,7.400000095,11.39999962,60.90000153,55.59999847,29.90999985,0,0
4/5/2017,7:45,334,4,7.199999809,10.39999962,61.79999924,51.70000076,29.90999985,0,0
4/5/2017,8:00,342,4.599999905,6.699999809,9.300000191,61.09999847,54.29999924,29.90999985,0,0
