,,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System
,,Mid Point,Mid Point,Mid Point,Mid Point,Mid Point,Mid Point,Mid Point
,,00018FF7,00018FF7,00018FF7,00018FF7,00018FF7,00018FF7,EcoNet Battery
Date,Time,Temp,SpCond,Salinity,Depth,ODO Conc,ODO%,Battery
MM/dd/yyyy,HH:mm,C,mS/cm,ppt,ft,mg/L,%,V
Min,,18.06,1.661,0.83,1.197,4.07,50.3,12.14
Max,,33.37,1.984,1,1.505,9.97,122,14.18
Mean,,26.03,1.799,0.907,1.346,7.25,89.8,13.09
Median,,26.02,1.746,0.88,1.334,7.34,89.6,13.03
St.dev,,3.53,0.101,0.051,0.081,1.17,15.2,0.73
6/1/2017,0:00,24.18,1.677,0.85,1.478,8.07,96.7,12.34
6/1/2017,0:15,24.1,1.677,0.85,1.477,8.09,96.8,12.32
6/1/2017,0:30,24.04,1.677,0.85,1.475,8.08,96.5,12.31
6/1/2017,0:45,23.97,1.677,0.85,1.474,7.98,95.2,12.3
6/1/2017,1:00,23.91,1.677,0.85,1.472,7.89,94,12.31
6/1/2017,1:15,23.86,1.677,0.85,1.472,7.83,93.2,12.2
6/1/2017,1:30,23.81,1.677,0.85,1.473,7.79,92.7,12.24
6/1/2017,1:45,23.76,1.677,0.85,1.472,7.81,92.8,12.28
6/1/2017,2:00,23.72,1.678,0.85,1.47,7.68,91.2,12.25
6/1/2017,2:15,23.66,1.678,0.85,1.469,7.69,91.2,12.18
6/1/2017,2:30,23.58,1.678,0.85,1.466,7.76,91.9,12.18
6/1/2017,2:45,23.5,1.678,0.85,1.466,7.77,91.9,12.17
6/1/2017,3:00,23.4,1.677,0.85,1.464,7.85,92.7,12.18
6/1/2017,3:15,23.34,1.678,0.85,1.466,7.69,90.7,12.24
6/1/2017,3:30,23.27,1.678,0.85,1.465,7.51,88.5,12.16
6/1/2017,3:45,23.19,1.678,0.85,1.464,7.64,89.8,12.23
6/1/2017,4:00,23.11,1.677,0.85,1.463,7.5,88,12.24
6/1/2017,4:15,23,1.677,0.85,1.464,7.49,87.7,12.16
6/1/2017,4:30,22.89,1.677,0.85,1.459,7.5,87.6,12.14
6/1/2017,4:45,22.78,1.676,0.85,1.459,7.5,87.5,12.14
6/1/2017,5:00,22.68,1.676,0.85,1.457,7.41,86.2,12.18
6/1/2017,5:15,22.57,1.675,0.85,1.455,7.35,85.4,12.36
6/1/2017,5:30,22.45,1.675,0.85,1.457,7.28,84.4,12.5
6/1/2017,5:45,22.29,1.675,0.85,1.457,7.21,83.3,12.55
6/1/2017,6:00,22.2,1.674,0.85,1.458,7.09,81.7,12.88
6/1/2017,6:15,22.21,1.674,0.85,1.456,6.99,80.7,13.02
6/1/2017,6:30,22.29,1.675,0.85,1.455,7.03,81.2,13.09
6/1/2017,6:45,22.33,1.675,0.85,1.456,6.94,80.2,13.08
6/1/2017,7:00,22.36,1.675,0.85,1.458,7,81,13.16
6/1/2017,7:15,22.42,1.674,0.85,1.455,7.08,82,14.03
6/1/2017,7:30,22.51,1.675,0.85,1.454,7.22,83.7,14.02
6/1/2017,7:45,22.54,1.676,0.85,1.459,7.07,82.1,13.99
6/1/2017,8:00,22.61,1.676,0.85,1.458,7.19,83.7,13.98
6/1/2017,8:15,22.7,1.676,0.85,1.459,7.2,83.9,13.96
6/1/2017,8:30,22.74,1.676,0.85,1.457,7.11,82.9,13.94
6/1/2017,8:45,22.8,1.676,0.85,1.459,6.89,80.4,13.94
6/1/2017,9:00,22.92,1.676,0.85,1.461,6.94,81.2,13.92
6/1/2017,9:15,23.06,1.677,0.85,1.46,6.87,80.5,13.91
6/1/2017,9:30,23.36,1.676,0.85,1.462,7.12,84,13.91
6/1/2017,9:45,23.6,1.678,0.85,1.467,7.13,84.4,13.91
