,,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System
,,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point
,,00018BD1,00018BD1,00018BD1,00018BD1,00018BD1,00018BD1,MET Station,MET Station,MET Station,MET Station,MET Station,MET Station,MET Station,MET Station,MET Station,EcoNet Battery
Date,Time,Temp,SpCond,Salinity,Depth,ODO Conc,ODO%,Air Temp,BP,RH,Wind Dir,Wind Speed,Wind Speed Min,Wind Speed Max,Rain Fall,Hail Intensity,Battery
MM/dd/yyyy,HH:mm,C,mS/cm,ppt,ft,mg/L,%,F,inHg,%,Degrees,mph,MPH,MPH,in,Hits,V
Min,,12.57,1.606,0.81,1.315,4.83,60.7,48,29.35,25.2,0,0,0,0,0,0,12.02
Max,,32.56,2.082,1.07,1.902,11.6,132.5,89,30.32,90.9,359,24.1,17.1,40.6,0.231,1,14.29
Mean,,20.38,1.898,0.967,1.628,8.3,92.2,63.78,29.89,63.6,182,8.7,4.31,14.26,0.002,0,12.83
Median,,19.56,1.894,0.97,1.671,8.37,90.6,62.6,29.94,64.6,177,8.4,3.9,13.8,0,0,12.32
St.dev,,4.3,0.119,0.064,0.186,1.24,14.2,8.2,0.2,17.3,96,4,3.22,6.05,0.01,0.04,0.78
5/1/2017,0:00,27.2,2.061,1.05,1.667,6.06,76.7,70.3,30.01,83.6,155,3.9,1.5,6,0,0,12.19
5/1/2017,0:15,27.09,2.061,1.05,1.667,5.62,71.1,71.9,30,82.2,154,3.5,1.8,6.3,0,0,12.18
5/1/2017,0:30,26.99,2.06,1.05,1.667,5.75,72.6,75.5,30,72.6,168,5.5,2.4,8.7,0,0,12.19
5/1/2017,0:45,26.9,2.06,1.05,1.667,6.02,75.8,76.1,29.99,69.2,168,6.2,3.3,11.7,0,0,12.19
5/1/2017,1:00,26.76,2.059,1.05,1.669,4.83,60.7,76.2,29.99,68.3,174,6.2,2.2,12.7,0,0,12.19
5/1/2017,1:15,26.61,2.059,1.05,1.669,5.68,71.2,76.1,29.99,69.4,173,6.8,3.1,11.7,0,0,12.19
5/1/2017,1:30,26.44,2.059,1.05,1.667,5.62,70.2,75.9,29.98,68.1,179,6.6,2,13,0,0,12.19
5/1/2017,1:45,26.27,2.058,1.05,1.668,5.7,71,75.5,29.98,69,172,7.5,3,14.1,0,0,12.19
5/1/2017,2:00,26.12,2.058,1.05,1.669,5.6,69.6,75.2,29.97,67.3,175,8,4,13.4,0,0,12.18
5/1/2017,2:15,26,2.057,1.05,1.669,5.5,68.2,74.8,29.98,68.2,181,7.4,3.5,15.1,0,0,12.18
