Customer:,Dominion - Cove Point,,,,,,,,,
Exported parameters:,Generic SDI12/Wind Dir,Generic SDI12/Wind Speed Min,Generic SDI12/Wind Speed,Generic SDI12/Wind Speed Max,Generic SDI12/Air Temp,Generic SDI12/RH,Generic SDI12/BP,Generic SDI12/Rain Fall,Generic SDI12/Hail Intensity,
Start Date:,3/23/2017 0:00,,,,,,,,,
End Date:,4/5/2017 23:59,,,,,,,,,
,,105002,105003,105004,105005,105006,105007,105008,105009,105010
Date,Time,Wind Dir,Wind Speed Min,Wind Speed,Wind Speed Max,Air Temp,RH,BP,Rain Fall,Hail Intensity
MM/dd/yyyy,HH:mm,Degrees,MPH,mph,MPH,F,%,inHg,in,Hits
3/23/2017,0:00,17,8,12.30000019,18.89999962,35.90000153,36.90000153,30.45999908,0,0
3/23/2017,0:15,28,7.800000191,12.69999981,17.60000038,35.59999847,36.29999924,30.46999931,0,0
3/23/2017,0:30,21,9,14.60000038,20.5,35.20000076,37.09999847,30.46999931,0,0
3/23/2017,0:45,25,7.199999809,12.19999981,21.29999924,35,38.5,30.46999931,0,0
3/23/2017,1:00,12,6.900000095,12.30000019,17.79999924,34.79999924,35.70000076,30.47999954,0,0
3/23/2017,1:15,27,6.300000191,11.39999962,15.80000019,34.29999924,35.79999924,30.47999954,0,0
3/23/2017,1:30,22,6.699999809,11.10000038,15.19999981,34.09999847,38.29999924,30.48999977,0,0
3/23/2017,1:45,23,6.699999809,11.19999981,16,33.79999924,38,30.48999977,0,0
3/23/2017,2:00,30,5.800000191,11.19999981,16.5,33.79999924,39.20000076,30.5,0,0
3/23/2017,2:15,24,7,12.30000019,18.39999962,33.40000153,35.90000153,30.5,0,0
3/23/2017,2:30,27,6.699999809,11,15.80000019,33.40000153,39.90000153,30.51000023,0,0
3/23/2017,2:45,32,6.5,10.5,16.29999924,32.90000153,36.90000153,30.51000023,0,0
3/23/2017,3:00,26,4.099999905,9.399999619,14.80000019,32.70000076,38.5,30.52000046,0,0
3/23/2017,3:15,20,4.699999809,10,16.60000038,32.70000076,35.5,30.52000046,0,0
3/23/2017,3:30,19,7.400000095,13.19999981,19.5,32.90000153,35.79999924,30.53000069,0,0
3/23/2017,3:45,24,7,13.10000038,20.20000076,32.70000076,40.5,30.53000069,0,0
3/23/2017,4:00,20,7.800000191,12.39999962,19.60000038,32.5,34.90000153,30.53000069,0,0
3/23/2017,4:15,24,6.699999809,11.80000019,18.20000076,32.09999847,33.90000153,30.54000092,0,0
3/23/2017,4:30,30,6.699999809,11,16.70000076,32,36.79999924,30.54999924,0,0
3/23/2017,4:45,30,5.599999905,10.5,16,32,41.90000153,30.55999947,0,0
3/23/2017,5:00,27,5.5,10.39999962,15.89999962,31.70000076,36.40000153,30.56999969,0,0
3/23/2017,5:15,33,4.800000191,9.5,16.10000038,31.5,41.09999847,30.57999992,0,0
3/23/2017,5:30,29,5.300000191,10.39999962,15.80000019,31.10000038,38.79999924,30.59000015,0,0
3/23/2017,5:45,20,5.300000191,9.899999619,16.20000076,31.10000038,41.79999924,30.59000015,0,0
3/23/2017,6:00,22,6.599999905,11.10000038,17.5,31.10000038,42.70000076,30.60000038,0,0
3/23/2017,6:15,23,7.199999809,12.30000019,19.20000076,31.10000038,40.29999924,30.60000038,0,0
3/23/2017,6:30,20,7.400000095,12.5,17.39999962,31.10000038,38.29999924,30.61000061,0,0
3/23/2017,6:45,26,6.099999905,11.80000019,16.89999962,31.29999924,39.90000153,30.62000084,0,0
3/23/2017,7:00,28,6.699999809,11.60000038,15.69999981,31.10000038,41.40000153,30.62000084,0,0
3/23/2017,7:15,27,6.300000191,11.19999981,17.29999924,31.5,44,30.62999916,0,0
3/23/2017,7:30,20,5.300000191,11,16.29999924,31.70000076,39.09999847,30.63999939,0,0
3/23/2017,7:45,13,7.199999809,11.69999981,16.89999962,32,43.09999847,30.63999939,0,0
3/23/2017,8:00,2,7.699999809,12.89999962,19.79999924,32,42,30.63999939,0,0
3/23/2017,8:15,2,7.599999905,13.39999962,19.29999924,32,38.09999847,30.63999939,0,0
3/23/2017,8:30,17,6.800000191,11.80000019,16.70000076,32.09999847,36.5,30.63999939,0,0
3/23/2017,8:45,17,5.900000095,10.80000019,17.10000038,32.5,39.5,30.64999962,0,0
3/23/2017,9:00,12,5.5,10.10000038,14.39999962,32.29999924,37.90000153,30.65999985,0,0
3/23/2017,9:15,12,5.099999905,9.199999809,13.39999962,32.29999924,41.70000076,30.65999985,0,0
3/23/2017,9:30,10,4.099999905,9.100000381,14.69999981,32.5,40,30.65999985,0,0
