Customer:,Dominion - Cove Point,,,,,,,,,
Exported parameters:,Generic SDI12/Wind Dir,Generic SDI12/Wind Speed Min,Generic SDI12/Wind Speed,Generic SDI12/Wind Speed Max,Generic SDI12/Air Temp,Generic SDI12/RH,Generic SDI12/BP,Generic SDI12/Rain Fall,Generic SDI12/Hail Intensity,
Start Date:,5/3/2017 0:00,,,,,,,,,
End Date:,5/18/2017 23:59,,,,,,,,,
,,105002,105003,105004,105005,105006,105007,105008,105009,105010
Date,Time,Wind Dir,Wind Speed Min,Wind Speed,Wind Speed Max,Air Temp,RH,BP,Rain Fall,Hail Intensity
MM/dd/yyyy,HH:mm,Degrees,MPH,mph,MPH,F,%,inHg,in,Hits
5/3/2017,0:00,218,2.900000095,5.5,11.19999981,64.69999695,43,29.82999992,0,0
5/3/2017,0:15,209,4.199999809,7.599999905,11.89999962,64.5,47.20000076,29.82999992,0,0
5/3/2017,0:30,207,4.099999905,7.5,12.30000019,64,48.20000076,29.82999992,0,0
5/3/2017,0:45,208,3.099999905,7.199999809,10.30000019,63.5,49.79999924,29.82999992,0,0
5/3/2017,1:00,206,3.299999952,6.400000095,10.10000038,63.79999924,48.59999847,29.82999992,0,0
5/3/2017,1:15,203,2,4.199999809,8.800000191,63.79999924,49.90000153,29.82999992,0,0
5/3/2017,1:30,198,0.899999976,3,6.099999905,62.70000076,51.90000153,29.82999992,0,0
5/3/2017,1:45,177,0.800000012,2.900000095,7.199999809,63.09999847,49.20000076,29.82999992,0,0
5/3/2017,2:00,176,0.800000012,3.299999952,6,63.09999847,52,29.84000015,0,0
5/3/2017,2:15,172,0.400000006,2.799999952,5.699999809,62.70000076,53.5,29.84000015,0,0
5/3/2017,2:30,178,0.300000012,1.700000048,3.900000095,62.20000076,57.90000153,29.84000015,0,0
5/3/2017,2:45,268,0.400000006,3.700000048,9.300000191,63.09999847,54.40000153,29.84000015,0,0
5/3/2017,3:00,260,0.200000003,2.5,7.5,62,57.70000076,29.85000038,0,0
5/3/2017,3:15,207,0.800000012,5.400000095,11.5,61.5,55.29999924,29.85000038,0,0
5/3/2017,3:30,212,0.400000006,4.199999809,9,60.90000153,56.79999924,29.85000038,0,0
5/3/2017,3:45,251,0.5,3.299999952,7.400000095,60.90000153,57.40000153,29.86000061,0,0
5/3/2017,4:00,253,0.800000012,4.400000095,9.199999809,60.59999847,57.90000153,29.86000061,0,0
5/3/2017,4:15,280,2.099999905,7.5,12.19999981,61.5,53,29.87000084,0,0
5/3/2017,4:30,288,5.199999809,8.300000191,11.69999981,61.29999924,53,29.87999916,0,0
5/3/2017,4:45,291,2.799999952,6.599999905,11.19999981,61.5,48.20000076,29.88999939,0,0
5/3/2017,5:00,295,4.400000095,8,12.5,61.70000076,48.40000153,29.88999939,0,0
5/3/2017,5:15,295,4.099999905,8,11.80000019,61.70000076,47.79999924,29.88999939,0,0
5/3/2017,5:30,299,4.400000095,7.5,12,61.09999847,49.5,29.89999962,0,0
5/3/2017,5:45,299,3.200000048,7.099999905,12,61.09999847,51.29999924,29.90999985,0,0
5/3/2017,6:00,297,3.599999905,7.400000095,11.80000019,61.09999847,49.79999924,29.92000008,0,0
5/3/2017,6:15,297,4.199999809,7.400000095,11.5,61.09999847,50.40000153,29.92000008,0,0
5/3/2017,6:30,300,4.300000191,8.199999809,12.5,61.29999924,50.29999924,29.93000031,0,0
5/3/2017,6:45,301,3,6.699999809,10.69999981,61.70000076,49.20000076,29.93000031,0,0
5/3/2017,7:00,302,3.099999905,6.099999905,11.10000038,62,48.90000153,29.94000053,0,0
5/3/2017,7:15,310,3.400000095,8.199999809,15.39999962,62.40000153,49.5,29.94000053,0,0
5/3/2017,7:30,308,3.099999905,9.399999619,18.20000076,62.40000153,49.40000153,29.94000053,0,0
5/3/2017,7:45,310,2.099999905,8.899999619,19.60000038,62.59999847,47.09999847,29.95000076,0,0
5/3/2017,8:00,316,3.299999952,10.5,20.60000038,63.09999847,46.59999847,29.95000076,0,0
5/3/2017,8:15,317,1.5,9.5,19.79999924,63.79999924,45.59999847,29.95999908,0,0
5/3/2017,8:30,305,3.799999952,10,20.89999962,64.40000153,44.29999924,29.95000076,0,0
5/3/2017,8:45,311,4.400000095,12.19999981,19.70000076,64.40000153,42.59999847,29.95999908,0,0
5/3/2017,9:00,317,2.599999905,10.60000038,21.89999962,65.09999847,40.70000076,29.95999908,0,0
5/3/2017,9:15,309,3.599999905,13.69999981,23,64.5,39.70000076,29.96999931,0,0
5/3/2017,9:30,319,1.5,10.69999981,21.60000038,64.90000153,42.09999847,29.96999931,0,0
5/3/2017,9:45,333,9.300000191,17.70000076,24.39999962,64,44.5,29.96999931,0,0
5/3/2017,10:00,327,10.60000038,16.5,26.10000038,63.59999847,46.40000153,29.98999977,0,0
5/3/2017,10:15,318,3.799999952,13.89999962,24,64.69999695,40.59999847,29.98999977,0,0
5/3/2017,10:30,330,6.400000095,14.39999962,24.89999962,64.40000153,41.20000076,30,0,0
5/3/2017,10:45,311,3.099999905,13.5,24.39999962,64.69999695,41.70000076,30,0,0
5/3/2017,11:00,308,2.900000095,13.30000019,22.79999924,64.90000153,37.5,30.01000023,0,0
5/3/2017,11:15,322,1.399999976,15.69999981,27.39999962,64,37.40000153,30.01000023,0,0
5/3/2017,11:30,324,5.900000095,15.10000038,25.10000038,63.59999847,43.79999924,30.02000046,0,0
5/3/2017,11:45,324,3.400000095,12.39999962,23.39999962,63.79999924,38.70000076,30.02000046,0,0
5/3/2017,12:00,319,9.300000191,16.5,27,64,39.90000153,30.02000046,0,0
5/3/2017,12:15,314,3.299999952,15.19999981,28.79999924,64.40000153,38.40000153,30.01000023,0,0
