Customer:,Dominion - Cove Point,,,,,,,,
Exported parameters:,EcoNet Battery/Battery,YSI 6 Series/Temp,YSI 6 Series/SpCond,YSI 6 Series/Salinity,YSI 6 Series/Depth,YSI 6 Series/Battery,YSI 6 Series/ODO%,YSI 6 Series/ODO Conc,
Start Date:,5/3/2017 0:00,,,,,,,,
End Date:,5/18/2017 23:59,,,,,,,,
,,103277,162782,162787,162792,162801,162802,162852,162853
Date,Time,Battery,Temp,SpCond,Salinity,Depth,Battery,ODO%,ODO Conc
MM/dd/yyyy,HH:mm,V,C,mS/cm,ppt,ft,V,%,mg/L
5/3/2017,0:00,12.192,23.35000038,2.068000078,1.059999943,1.621000051,,86,7.28000021
5/3/2017,0:15,12.192,23.21999931,2.066999912,1.059999943,1.620000005,,86.59999847,7.360000134
5/3/2017,0:30,12.192,23.01000023,2.068000078,1.059999943,1.618999958,,85.90000153,7.329999924
5/3/2017,0:45,12.18,22.87000084,2.065999985,1.049999952,1.618999958,,82.69999695,7.070000172
5/3/2017,1:00,12.18,22.37000084,2.065999985,1.059999943,1.618999958,,85.19999695,7.360000134
5/3/2017,1:15,12.168,22.18000031,2.065000057,1.049999952,1.618000031,,83.80000305,7.260000229
5/3/2017,1:30,12.156,22.07999992,2.063999891,1.049999952,1.618000031,,80.5,6.989999771
5/3/2017,1:45,12.156,22.03000069,2.063999891,1.049999952,1.618000031,,74.5,6.46999979
5/3/2017,2:00,12.156,21.87000084,2.063999891,1.049999952,1.618000031,,76.69999695,6.679999828
5/3/2017,2:15,12.144,21.76000023,2.063999891,1.049999952,1.618999958,,75.80000305,6.619999886
5/3/2017,2:30,12.144,21.70000076,2.062999964,1.049999952,1.618000031,,76.19999695,6.659999847
5/3/2017,2:45,12.144,21.63999939,2.062999964,1.049999952,1.616999984,,74.90000153,6.559999943
5/3/2017,3:00,12.132,21.54999924,2.063999891,1.059999943,1.618000031,,67.90000153,5.949999809
5/3/2017,3:15,12.12,21.44000053,2.062999964,1.049999952,1.618000031,,76.09999847,6.690000057
5/3/2017,3:30,12.12,21.35000038,2.062999964,1.049999952,1.616999984,,74.09999847,6.519999981
5/3/2017,3:45,12.12,21.22999954,2.062000036,1.049999952,1.61500001,,73,6.440000057
5/3/2017,4:00,12.108,21.10000038,2.062000036,1.049999952,1.61500001,,73,6.460000038
5/3/2017,4:15,12.108,20.95999908,2.061000109,1.049999952,1.61500001,,71.59999847,6.349999905
5/3/2017,4:30,12.108,20.81999969,2.061000109,1.049999952,1.613000035,,73.5,6.539999962
5/3/2017,4:45,12.108,20.70999908,2.061000109,1.049999952,1.61500001,,73.5,6.550000191
5/3/2017,5:00,12.096,20.62000084,2.061000109,1.049999952,1.613000035,,75.59999847,6.75
5/3/2017,5:15,12.108,20.42000008,2.061000109,1.049999952,1.611999989,,75.69999695,6.789999962
5/3/2017,5:30,12.132,20.30999947,2.059999943,1.049999952,1.611999989,,75,6.739999771
5/3/2017,5:45,12.144,20.29000092,2.059999943,1.049999952,1.610000014,,73.5,6.610000134
5/3/2017,6:00,12.192,20.28000069,2.059999943,1.049999952,1.608999968,,70.90000153,6.369999886
5/3/2017,6:15,12.3,20.25,2.059999943,1.049999952,1.610000014,,67.59999847,6.070000172
5/3/2017,6:30,12.504,20.17000008,2.059999943,1.049999952,1.610000014,,71.80000305,6.46999979
5/3/2017,6:45,12.732,20.11000061,2.059999943,1.059999943,1.611999989,,70.80000305,6.389999866
5/3/2017,7:00,12.84,20.09000015,2.059999943,1.059999943,1.610999942,,68.69999695,6.199999809
5/3/2017,7:15,12.924,20.09000015,2.059999943,1.059999943,1.608999968,,69.69999695,6.28000021
5/3/2017,7:30,13.044,20.12000084,2.061000109,1.059999943,1.605999947,,72,6.489999771
5/3/2017,7:45,13.248,20.17000008,2.061000109,1.059999943,1.606999993,,71.30000305,6.420000076
5/3/2017,8:00,14.112,20.22999954,2.061000109,1.059999943,1.601999998,,73.59999847,6.619999886
5/3/2017,8:15,14.112,20.29999924,2.061000109,1.059999943,1.603000045,,77.30000305,6.949999809
5/3/2017,8:30,14.1,20.38999939,2.062000036,1.059999943,1.60800004,,78.5,7.039999962
5/3/2017,8:45,14.088,20.54000092,2.062000036,1.059999943,1.595000029,,81.40000153,7.28000021
5/3/2017,9:00,14.076,20.67000008,2.062000036,1.059999943,1.600999951,,81.19999695,7.239999771
5/3/2017,9:15,14.088,20.81999969,2.062999964,1.059999943,1.587000012,,85.69999695,7.619999886
5/3/2017,9:30,14.064,20.97999954,2.063999891,1.059999943,1.59800005,,84.80000305,7.519999981
5/3/2017,9:45,14.064,21.13999939,2.063999891,1.059999943,1.592000008,,87.40000153,7.71999979
5/3/2017,10:00,14.064,21.34000015,2.065000057,1.059999943,1.597000003,,91.5,8.050000191
5/3/2017,10:15,14.076,21.5,2.065000057,1.059999943,1.595999956,,90.19999695,7.920000076
5/3/2017,10:30,14.076,21.67000008,2.065000057,1.059999943,1.598999977,,93.59999847,8.18999958
5/3/2017,10:45,14.076,21.87999916,2.065999985,1.059999943,1.597000003,,93.59999847,8.149999619
5/3/2017,11:00,14.088,22.10000038,2.066999912,1.059999943,1.595000029,,95.59999847,8.289999962
5/3/2017,11:15,14.076,22.27000046,2.068000078,1.059999943,1.59800005,,97.69999695,8.449999809
5/3/2017,11:30,14.088,22.47999954,2.069000006,1.059999943,1.59800005,,96.5,8.31000042
5/3/2017,11:45,14.1,22.73999977,2.069000006,1.059999943,1.600000024,,101.5999985,8.699999809
5/3/2017,12:00,14.1,23.03000069,2.069999933,1.059999943,1.585000038,,106.3000031,9.06000042
5/3/2017,12:15,14.1,23.26000023,2.071000099,1.059999943,1.58099997,,107.0999985,9.090000153
