Customer:,Dominion - Cove Point,,,,,,,,,,,,,
Exported parameters:,EcoNet Battery/Battery,YSI 6 Series/Temp,YSI 6 Series/Cond,YSI 6 Series/SpCond,YSI 6 Series/Resistivity,YSI 6 Series/TDS,YSI 6 Series/Salinity,YSI 6 Series/pH,YSI 6 Series/Depth,YSI 6 Series/Battery,YSI 6 Series/Turbidity+,YSI 6 Series/ODO%,YSI 6 Series/ODO Conc,
Start Date:,3/23/2017 0:00,,,,,,,,,,,,,
End Date:,4/5/2017 23:59,,,,,,,,,,,,,
,,103276,104691,104694,104696,104698,104700,104701,104705,104710,104711,104756,104761,104762
Date,Time,Battery,Temp,Cond,SpCond,Resistivity,TDS,Salinity,pH,Depth,Battery,Turbidity+,ODO%,ODO Conc
MM/dd/yyyy,HH:mm,V,C,mS/cm,mS/cm,KOhm.cm,g/L,ppt, ,ft,V,NTU,%,mg/L
3/23/2017,0:00,12.264,7.71999979,,2.450000048,,,1.269999981,,1.710000038,12.39999962,,90.90000153,10.75
3/23/2017,0:15,12.264,7.690000057,,2.443000078,,,1.25999999,,1.707000017,12.5,,90.69999695,10.72999954
3/23/2017,0:30,12.264,7.460000038,,2.447000027,,,1.25999999,,1.70599997,12.5,,90.69999695,10.80000019
3/23/2017,0:45,12.252,7.340000153,,2.443000078,,,1.25999999,,1.705000043,12.5,,90.5,10.80000019
3/23/2017,1:00,12.24,7.369999886,,2.443000078,,,1.25999999,,1.702999949,12.5,,90.40000153,10.78999996
3/23/2017,1:15,12.24,7.260000229,,2.443000078,,,1.25999999,,1.702000022,12.5,,90.19999695,10.78999996
3/23/2017,1:30,12.24,7.28000021,,2.447000027,,,1.25999999,,1.702000022,12.5,,90.30000305,10.80000019
3/23/2017,1:45,12.228,7.119999886,,2.450999975,,,1.25999999,,1.702999949,12.39999962,,90.30000305,10.84000015
3/23/2017,2:00,12.228,6.989999771,,2.467999935,,,1.269999981,,1.700999975,12.5,,90.5,10.89999962
3/23/2017,2:15,12.216,6.800000191,,2.453000069,,,1.269999981,,1.700999975,12.39999962,,89.90000153,10.88000011
3/23/2017,2:30,12.216,6.659999847,,2.451999903,,,1.25999999,,1.700000048,12.39999962,,89.40000153,10.85999966
3/23/2017,2:45,12.204,6.53000021,,2.46600008,,,1.269999981,,1.697999954,12.39999962,,89.19999695,10.85999966
3/23/2017,3:00,12.204,6.28000021,,2.444999933,,,1.25999999,,1.699000001,12.39999962,,89.09999847,10.92000008
3/23/2017,3:15,12.204,5.849999905,,2.459000111,,,1.269999981,,1.69599998,12.39999962,,88.80000305,11
3/23/2017,3:30,12.192,5.510000229,,2.523000002,,,1.299999952,,1.692999959,12.39999962,,89.80000305,11.22000027
3/23/2017,3:45,12.192,5.329999924,,2.525000095,,,1.299999952,,1.692000031,12.39999962,,89.90000153,11.28999996
3/23/2017,4:00,12.18,5.170000076,,2.559000015,,,1.320000052,,1.690000057,12.39999962,,89.90000153,11.32999992
3/23/2017,4:15,12.18,5.150000095,,2.552999973,,,1.309999943,,1.687999964,12.39999962,,89.80000305,11.31999969
3/23/2017,4:30,12.18,5.179999828,,2.517999887,,,1.299999952,,1.687999964,12.39999962,,89.40000153,11.27000046
3/23/2017,4:45,12.18,5.150000095,,2.520999908,,,1.299999952,,1.687999964,12.39999962,,89.5,11.28999996
3/23/2017,5:00,12.168,4.96999979,,2.519000053,,,1.299999952,,1.684999943,12.39999962,,90.09999847,11.42000008
3/23/2017,5:15,12.156,4.860000134,,2.487999916,,,1.279999971,,1.68599999,12.39999962,,90.09999847,11.44999981
3/23/2017,5:30,12.156,4.769999981,,2.493999958,,,1.279999971,,1.684999943,12.39999962,,89.90000153,11.44999981
3/23/2017,5:45,12.156,4.650000095,,2.484999895,,,1.279999971,,1.682999969,12.39999962,,89.80000305,11.47000027
3/23/2017,6:00,12.144,4.489999771,,2.494999886,,,1.279999971,,1.680999994,12.39999962,,89.5,11.47999954
3/23/2017,6:15,12.432,4.389999866,,2.503999949,,,1.289999962,,1.679999948,12.69999981,,89.40000153,11.5
3/23/2017,6:30,14.22,4.269999981,,2.526000023,,,1.299999952,,1.67900002,14.30000019,,89.30000305,11.52999973
3/23/2017,6:45,14.652,4.179999828,,2.509000063,,,1.289999962,,1.677999973,15,,89.40000153,11.56000042
3/23/2017,7:00,14.64,4.079999924,,2.503999949,,,1.279999971,,1.679999948,15,,89.40000153,11.60000038
3/23/2017,7:15,14.628,4,,2.507999897,,,1.289999962,,1.67900002,15,,89.59999847,11.64999962
