Date,Time,Cond,Depth,ODO_Conc,ODO_PC,Salinity,SpCond,Temp
3/22/2010,14:30,1.022,,1.65,17.4,0.59,1.183,17.89
3/22/2010,14:45,1.025,,1.64,17.4,0.59,1.183,18.02
4/7/2010,12:30,,0.879,9.96,115.5,10.2,17.27,19.65
4/7/2010,12:45,,0.847,10.1,117.3,10.22,17.3,19.72
4/7/2010,13:00,,0.815,10.13,118.3,10.21,17.28,20
4/7/2010,13:15,,0.799,10.44,121.9,10.2,17.27,20.02
4/7/2010,13:30,,0.782,10.7,125.8,10.17,17.22,20.35
4/7/2010,13:45,,0.744,10.7,127.4,10.09,17.1,21.03
4/7/2010,14:00,,0.72,10.46,125.8,9.98,16.93,21.57
4/7/2010,14:15,,0.699,10.48,126.9,9.93,16.87,22.01
4/7/2010,14:30,,0.682,10.28,125.6,9.79,16.65,22.46
4/7/2010,14:45,,0.664,10.22,125.5,9.63,16.41,22.84
4/7/2010,15:00,,0.636,10.08,125,9.48,16.18,23.37
4/7/2010,15:15,,0.624,9.95,125,9.34,15.97,24.12
4/7/2010,15:30,,0.618,9.95,127,9.2,15.76,25.1
4/7/2010,15:45,,0.604,9.95,128,8.92,15.33,25.61
4/7/2010,16:00,,0.594,9.96,128.8,8.64,14.9,25.94
4/7/2010,16:15,,0.579,9.92,128.4,8.49,14.65,26.03
4/7/2010,16:30,,0.569,9.88,127.9,8.27,14.3,26.12
4/7/2010,16:45,,0.553,9.84,127.5,8.04,13.93,26.27
4/7/2010,17:00,,0.547,9.68,125,7.8,13.55,26.17
4/7/2010,17:15,,0.523,9.6,123.8,7.62,13.26,26.11
4/7/2010,17:30,,0.508,9.55,122.9,7.51,13.08,26.02
4/7/2010,17:45,,0.494,9.6,123.4,7.45,12.99,25.99
4/7/2010,18:00,,0.483,9.61,123.4,7.42,12.94,25.96
4/7/2010,18:15,,0.475,9.53,122.2,7.41,12.92,25.9
4/7/2010,18:30,,0.478,9.31,118.7,7.3,12.74,25.56
4/7/2010,18:45,,0.469,9.25,117.3,7.36,12.83,25.27
4/7/2010,19:00,,0.462,9.05,114,7.3,12.73,24.96
4/7/2010,19:15,,0.458,8.83,110.7,7.29,12.71,24.67
4/7/2010,19:30,,0.455,8.73,109,7.29,12.7,24.42
4/7/2010,19:45,,0.453,8.61,107.1,7.28,12.69,24.25
4/7/2010,20:00,,0.462,8.78,109.4,7.27,12.67,24.38
4/7/2010,20:15,,0.471,8.75,109.1,7.24,12.63,24.39
4/7/2010,20:30,,0.485,8.66,107.6,7.24,12.63,24.21
