Date,Time,Depth,ODO_Conc,ODO_PC,Salinity,SpCond,Temp
3/2/2011,14:45,1.183,11.12,101.6,2.39,4.466,10.69
3/2/2011,15:00,1.214,11.17,102.3,2.4,4.477,10.77
3/2/2011,15:15,1.213,11.13,102.2,2.4,4.479,10.87
3/2/2011,15:30,1.214,11.13,102.3,2.4,4.481,10.91
3/2/2011,15:45,1.212,11.12,102.3,2.4,4.482,10.95
3/2/2011,16:00,1.214,11.18,103.1,2.4,4.48,11.1
3/2/2011,16:15,1.213,11.22,103.6,2.4,4.478,11.15
3/2/2011,16:30,1.217,11.15,103.1,2.4,4.476,11.2
3/2/2011,16:45,1.217,11.1,102.7,2.4,4.476,11.21
3/2/2011,17:00,1.215,11,101.8,2.4,4.476,11.19
3/2/2011,17:15,1.216,10.91,100.9,2.4,4.479,11.17
3/2/2011,17:30,1.216,10.89,100.5,2.4,4.48,11.11
3/2/2011,17:45,1.215,10.84,100,2.4,4.479,11.06
3/2/2011,18:00,1.214,10.72,98.8,2.4,4.478,11.03
3/2/2011,18:15,1.207,10.73,98.7,2.4,4.483,10.96
3/2/2011,18:30,1.194,10.67,97.9,2.39,4.457,10.87
3/2/2011,18:45,1.202,10.56,96.8,2.39,4.461,10.8
3/2/2011,19:00,1.2,10.44,95.5,2.39,4.463,10.72
3/2/2011,19:15,1.198,10.48,95.8,2.36,4.403,10.7
3/2/2011,19:30,1.196,10.47,95.5,2.35,4.388,10.58
3/2/2011,19:45,1.2,10.28,93.2,2.37,4.428,10.33
3/2/2011,20:00,1.206,10.11,91.3,2.39,4.47,10.15
3/2/2011,20:15,1.205,9.89,89.1,2.41,4.489,10.07
3/2/2011,20:30,1.205,9.88,88.8,2.4,4.483,9.99
3/2/2011,20:45,1.203,9.68,86.8,2.4,4.475,9.86
3/2/2011,21:00,1.202,9.37,83.8,2.4,4.476,9.73
3/2/2011,21:15,1.202,9.26,82.6,2.39,4.472,9.65
3/2/2011,21:30,1.194,9.32,83,2.39,4.472,9.59
3/2/2011,21:45,1.193,9.47,84.2,2.4,4.479,9.51
3/2/2011,22:00,1.2,9.46,83.7,2.4,4.488,9.34
3/2/2011,22:15,1.195,9.66,85.3,2.41,4.494,9.22
3/2/2011,22:30,1.199,9.96,87.9,2.41,4.503,9.23
3/2/2011,22:45,1.195,9.89,87.1,2.42,4.511,9.1
3/2/2011,23:00,1.193,9.87,86.5,2.42,4.516,8.91
3/2/2011,23:15,1.206,10.07,87.9,2.41,4.502,8.73
3/2/2011,23:30,1.205,9.92,86.3,2.4,4.492,8.61
3/2/2011,23:45,1.212,9.44,82,2.4,4.484,8.54
3/3/2011,0:00,1.187,9.75,84.3,2.4,4.491,8.33
3/3/2011,0:15,1.179,10.08,86.8,2.41,4.515,8.14
3/3/2011,0:30,1.182,10.23,87.4,2.41,4.508,7.85
3/3/2011,0:45,1.202,10.35,87.9,2.4,4.496,7.64
3/3/2011,1:00,1.21,10.41,88,2.4,4.502,7.44
3/3/2011,1:15,1.219,10.32,87,2.4,4.499,7.32
3/3/2011,1:30,1.216,10.45,87.7,2.4,4.505,7.1
3/3/2011,1:45,1.23,10.58,88.4,2.4,4.504,6.92
3/3/2011,2:00,1.221,10.61,88.3,2.4,4.504,6.78
3/3/2011,2:15,1.224,10.65,88.2,2.4,4.508,6.56
3/3/2011,2:30,1.22,10.81,89.1,2.4,4.504,6.39
3/3/2011,2:45,1.234,10.85,89.1,2.4,4.502,6.23
3/3/2011,3:00,1.235,10.88,89,2.39,4.497,6.07
3/3/2011,3:15,1.226,10.94,89,2.39,4.496,5.9
3/3/2011,3:30,1.221,10.98,89,2.39,4.492,5.74
3/3/2011,3:45,1.23,11.05,89.2,2.39,4.492,5.55
3/3/2011,4:00,1.235,11.11,89.3,2.38,4.486,5.42
3/3/2011,4:15,1.229,11.17,89.5,2.38,4.479,5.27
3/3/2011,4:30,1.227,11.2,89.5,2.38,4.48,5.16
3/3/2011,4:45,1.227,11.27,89.7,2.38,4.481,5.02
3/3/2011,5:00,1.238,11.29,89.6,2.38,4.476,4.93
3/3/2011,5:15,1.236,11.36,89.7,2.37,4.462,4.75
3/3/2011,5:30,1.234,11.39,89.7,2.36,4.443,4.64
3/3/2011,5:45,1.237,11.46,89.9,2.36,4.46,4.45
3/3/2011,6:00,1.246,11.49,89.7,2.36,4.462,4.28
3/3/2011,6:15,1.243,11.52,89.8,2.35,4.447,4.22
3/3/2011,6:30,1.238,11.59,90,2.35,4.446,4.06
3/3/2011,6:45,1.234,11.64,90.1,2.35,4.448,3.96
3/3/2011,7:00,1.233,11.7,90.3,2.35,4.448,3.84
3/3/2011,7:15,1.229,11.71,89.8,2.35,4.444,3.58
3/3/2011,7:30,1.23,11.81,90.6,2.35,4.453,3.6
3/3/2011,7:45,1.245,11.87,90.8,2.36,4.458,3.48
3/3/2011,8:00,1.253,11.93,91.1,2.36,4.46,3.43
3/3/2011,8:15,1.252,12,91.5,2.36,4.46,3.4
3/3/2011,8:30,1.247,12.06,92,2.36,4.463,3.38
