"Plot Title: 10922142"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 10922142, SEN S/N: 10922142)","Temp, °C (LGR S/N: 10922142, SEN S/N: 10922142)","Specific Conductance, μS/cm (LGR S/N: 10922142)","Salinity, ppt (LGR S/N: 10922142)"
1,03/09/17 12:49:36 PM,3354.3,16.45,4036.1,2.1344
2,03/09/17 12:54:36 PM,3357.5,16.53,4032.5,2.1323
3,03/09/17 12:59:36 PM,3376.8,16.74,4036.1,2.1344
4,03/09/17 01:04:36 PM,3386.1,16.86,4036.1,2.1343
5,03/09/17 01:09:36 PM,3404.1,17.10,4035.3,2.1339
6,03/09/17 01:14:36 PM,3409.6,17.21,4031.7,2.1318
7,03/09/17 01:19:36 PM,3414.6,17.29,4030.2,2.1310
8,03/09/17 01:24:36 PM,3423.8,17.42,4029.1,2.1304
9,03/09/17 01:29:36 PM,3437.9,17.63,4026.5,2.1289
10,03/09/17 01:34:36 PM,3450.8,17.79,4026.9,2.1292
11,03/09/17 01:39:36 PM,3467.8,18.01,4026.7,2.1291
12,03/09/17 01:44:36 PM,3473.3,18.11,4024.0,2.1276
13,03/09/17 01:49:36 PM,3495.1,18.43,4020.3,2.1255
14,03/09/17 01:54:36 PM,3514.4,18.71,4017.3,2.1238
15,03/09/17 01:59:36 PM,3527.6,18.84,4020.7,2.1257
16,03/09/17 02:04:36 PM,3535.3,18.95,4019.6,2.1251
17,03/09/17 02:09:36 PM,3540.1,19.01,4019.7,2.1251
18,03/09/17 02:14:36 PM,3524.0,18.83,4017.5,2.1239
19,03/09/17 02:19:36 PM,3538.3,19.02,4016.8,2.1235
20,03/09/17 02:24:36 PM,3574.5,19.49,4015.9,2.1230
21,03/09/17 02:29:36 PM,3582.2,19.62,4013.1,2.1214
22,03/09/17 02:34:36 PM,3589.3,19.69,4014.8,2.1224
23,03/09/17 02:39:36 PM,3596.9,19.81,4012.8,2.1212
24,03/09/17 02:44:36 PM,3592.8,19.74,4014.3,2.1221
25,03/09/17 02:49:36 PM,3596.9,19.80,4013.6,2.1217
26,03/09/17 02:54:36 PM,3606.3,19.94,4011.8,2.1207
27,03/09/17 02:59:36 PM,3606.3,19.92,4013.6,2.1217
28,03/09/17 03:04:36 PM,3594.6,19.94,3998.8,2.1134
29,03/09/17 03:09:36 PM,3570.4,19.56,4005.1,2.1170
30,03/09/17 03:14:36 PM,3606.9,19.96,4010.7,2.1201
31,03/09/17 03:19:36 PM,3593.4,19.81,4008.9,2.1190
32,03/09/17 03:24:36 PM,3563.9,19.49,4004.0,2.1163
33,03/09/17 03:29:36 PM,3582.2,19.72,4004.3,2.1165
34,03/09/17 03:34:36 PM,3586.3,19.85,3997.4,2.1126
35,03/09/17 03:39:36 PM,3563.3,19.55,3998.0,2.1130
36,03/09/17 03:44:36 PM,3582.2,19.78,3999.0,2.1135
37,03/09/17 03:49:36 PM,3606.3,20.10,3997.8,2.1128
38,03/09/17 03:54:36 PM,3611.0,20.16,3997.8,2.1128
39,03/09/17 03:59:36 PM,3611.0,20.19,3995.2,2.1114
40,03/09/17 04:04:36 PM,3612.8,20.23,3993.7,2.1105
41,03/09/17 04:09:36 PM,3600.4,20.05,3995.6,2.1116
42,03/09/17 04:14:36 PM,3585.7,19.85,3996.8,2.1123
43,03/09/17 04:19:36 PM,3599.3,20.02,3997.0,2.1124
44,03/09/17 04:24:36 PM,3613.9,20.16,4001.0,2.1146
45,03/09/17 04:29:36 PM,3620.9,20.28,3998.3,2.1131
46,03/09/17 04:34:36 PM,3617.4,20.14,4006.6,2.1178
47,03/09/17 04:39:36 PM,3623.9,20.26,4003.3,2.1159
48,03/09/17 04:44:36 PM,3615.1,20.10,4007.6,2.1183
49,03/09/17 04:49:36 PM,3620.4,20.14,4009.9,2.1196
50,03/09/17 04:54:36 PM,3622.1,20.19,4007.4,2.1183
